First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
21.3,2.6,N/A,21.3,21.3 x 2.6,N/A,N/A,1.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0670,55.8,0.681,0.681,N/A,N/A,0.668,0.668,N/A,N/A,0.639,0.639,N/A,N/A,N/A,0.915,0.915,N/A,N/A,N/A,N/A,N/A,1.36,1.28,N/A,N/A,N/A,N/A,N/A,1.53
21.3,2.9,N/A,21.3,21.3 x 2.9,N/A,N/A,1.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0670,50.8,0.727,0.727,N/A,N/A,0.659,0.659,N/A,N/A,0.683,0.683,N/A,N/A,N/A,0.990,0.990,N/A,N/A,N/A,N/A,N/A,1.45,1.37,N/A,N/A,N/A,N/A,N/A,1.68
21.3,3.2,N/A,21.3,21.3 x 3.2,N/A,N/A,1.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0670,46.9,0.768,0.768,N/A,N/A,0.650,0.650,N/A,N/A,0.722,0.722,N/A,N/A,N/A,1.06,1.06,N/A,N/A,N/A,N/A,N/A,1.54,1.44,N/A,N/A,N/A,N/A,N/A,1.82
26.9,2.6,N/A,26.9,26.9 x 2.6,N/A,N/A,1.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0850,54.5,1.48,1.48,N/A,N/A,0.864,0.864,N/A,N/A,1.10,1.10,N/A,N/A,N/A,1.54,1.54,N/A,N/A,N/A,N/A,N/A,2.96,2.20,N/A,N/A,N/A,N/A,N/A,1.98
26.9,2.9,N/A,26.9,26.9 x 2.9,N/A,N/A,1.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0850,49.4,1.60,1.60,N/A,N/A,0.855,0.855,N/A,N/A,1.19,1.19,N/A,N/A,N/A,1.68,1.68,N/A,N/A,N/A,N/A,N/A,3.19,2.38,N/A,N/A,N/A,N/A,N/A,2.19
26.9,3.2,N/A,26.9,26.9 x 3.2,N/A,N/A,1.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0850,45.5,1.70,1.70,N/A,N/A,0.846,0.846,N/A,N/A,1.27,1.27,N/A,N/A,N/A,1.81,1.81,N/A,N/A,N/A,N/A,N/A,3.41,2.53,N/A,N/A,N/A,N/A,N/A,2.38
26.9,3.6,N/A,26.9,26.9 x 3.6,N/A,N/A,2.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0850,41.1,1.83,1.83,N/A,N/A,0.834,0.834,N/A,N/A,1.36,1.36,N/A,N/A,N/A,1.97,1.97,N/A,N/A,N/A,N/A,N/A,3.66,2.72,N/A,N/A,N/A,N/A,N/A,2.64
33.7,2.6,N/A,33.7,33.7 x 2.6,N/A,N/A,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,53.3,3.09,3.09,N/A,N/A,1.10,1.10,N/A,N/A,1.84,1.84,N/A,N/A,N/A,2.52,2.52,N/A,N/A,N/A,N/A,N/A,6.19,3.67,N/A,N/A,N/A,N/A,N/A,2.54
33.7,2.9,N/A,33.7,33.7 x 2.9,N/A,N/A,2.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,48.2,3.36,3.36,N/A,N/A,1.09,1.09,N/A,N/A,1.99,1.99,N/A,N/A,N/A,2.76,2.76,N/A,N/A,N/A,N/A,N/A,6.71,3.98,N/A,N/A,N/A,N/A,N/A,2.81
33.7,3.2,N/A,33.7,33.7 x 3.2,N/A,N/A,2.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,44.0,3.60,3.60,N/A,N/A,1.08,1.08,N/A,N/A,2.14,2.14,N/A,N/A,N/A,2.99,2.99,N/A,N/A,N/A,N/A,N/A,7.21,4.28,N/A,N/A,N/A,N/A,N/A,3.07
