First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
33.7,3.0,N/A,33.7,33.7 x 3.0,N/A,N/A,2.27,N/A,33.7,33.7,N/A,3.0,3.0,N/A,N/A,N/A,11.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,46.7,3.44,3.44,N/A,N/A,1.09,1.09,N/A,N/A,2.04,2.04,N/A,N/A,N/A,2.84,2.84,N/A,N/A,N/A,N/A,N/A,6.88,4.08,N/A,N/A,N/A,N/A,N/A,2.89
42.4,3.0,N/A,42.4,42.4 x 3.0,N/A,N/A,2.91,N/A,42.4,42.4,N/A,3.0,3.0,N/A,N/A,N/A,14.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,45.7,7.25,7.25,N/A,N/A,1.40,1.40,N/A,N/A,3.42,3.42,N/A,N/A,N/A,4.67,4.67,N/A,N/A,N/A,N/A,N/A,14.5,6.84,N/A,N/A,N/A,N/A,N/A,3.71
48.3,3.0,N/A,48.3,48.3 x 3.0,N/A,N/A,3.35,N/A,48.3,48.3,N/A,3.0,3.0,N/A,N/A,N/A,16.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,45.4,11.0,11.0,N/A,N/A,1.61,1.61,N/A,N/A,4.55,4.55,N/A,N/A,N/A,6.17,6.17,N/A,N/A,N/A,N/A,N/A,22.0,9.11,N/A,N/A,N/A,N/A,N/A,4.27
48.3,4.0,N/A,48.3,48.3 x 4.0,N/A,N/A,4.37,N/A,48.3,48.3,N/A,4.0,4.0,N/A,N/A,N/A,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,34.8,13.8,13.8,N/A,N/A,1.57,1.57,N/A,N/A,5.70,5.70,N/A,N/A,N/A,7.87,7.87,N/A,N/A,N/A,N/A,N/A,27.5,11.4,N/A,N/A,N/A,N/A,N/A,5.57
60.3,3.0,N/A,60.3,60.3 x 3.0,N/A,N/A,4.24,N/A,60.3,60.3,N/A,3.0,3.0,N/A,N/A,N/A,20.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,44.6,22.2,22.2,N/A,N/A,2.03,2.03,N/A,N/A,7.37,7.37,N/A,N/A,N/A,9.86,9.86,N/A,N/A,N/A,N/A,N/A,44.4,14.7,N/A,N/A,N/A,N/A,N/A,5.40
60.3,4.0,N/A,60.3,60.3 x 4.0,N/A,N/A,5.55,N/A,60.3,60.3,N/A,4.0,4.0,N/A,N/A,N/A,15.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,34.1,28.2,28.2,N/A,N/A,2.00,2.00,N/A,N/A,9.34,9.34,N/A,N/A,N/A,12.7,12.7,N/A,N/A,N/A,N/A,N/A,56.3,18.7,N/A,N/A,N/A,N/A,N/A,7.07
76.1,3.0,N/A,76.1,76.1 x 3.0,N/A,N/A,5.41,N/A,76.1,76.1,N/A,3.0,3.0,N/A,N/A,N/A,25.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,44.2,46.1,46.1,N/A,N/A,2.59,2.59,N/A,N/A,12.1,12.1,N/A,N/A,N/A,16.0,16.0,N/A,N/A,N/A,N/A,N/A,92.2,24.2,N/A,N/A,N/A,N/A,N/A,6.89
76.1,4.0,N/A,76.1,76.1 x 4.0,N/A,N/A,7.11,N/A,76.1,76.1,N/A,4.0,4.0,N/A,N/A,N/A,19.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,33.6,59.1,59.1,N/A,N/A,2.55,2.55,N/A,N/A,15.5,15.5,N/A,N/A,N/A,20.8,20.8,N/A,N/A,N/A,N/A,N/A,118,31.0,N/A,N/A,N/A,N/A,N/A,9.06
88.9,3.0,N/A,88.9,88.9 x 3.0,N/A,N/A,6.36,N/A,88.9,88.9,N/A,3.0,3.0,N/A,N/A,N/A,29.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.279,43.9,74.8,74.8,N/A,N/A,3.04,3.04,N/A,N/A,16.8,16.8,N/A,N/A,N/A,22.1,22.1,N/A,N/A,N/A,N/A,N/A,150,33.6,N/A,N/A,N/A,N/A,N/A,8.10
88.9,3.5,N/A,88.9,88.9 x 3.5,N/A,N/A,7.37,N/A,88.9,88.9,N/A,3.5,3.5,N/A,N/A,N/A,25.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.279,37.9,85.7,85.7,N/A,N/A,3.02,3.02,N/A,N/A,19.3,19.3,N/A,N/A,N/A,25.5,25.5,N/A,N/A,N/A,N/A,N/A,171,38.6,N/A,N/A,N/A,N/A,N/A,9.39
