First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
50,25,2.0,50 x 25,50 x 25 x 2.0,N/A,N/A,2.15,N/A,50,25,N/A,2.0,2.0,N/A,N/A,N/A,N/A,22.0,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.143,66.5,8.38,2.81,N/A,N/A,1.75,1.01,N/A,N/A,3.35,2.25,N/A,N/A,N/A,4.26,2.62,N/A,N/A,N/A,N/A,N/A,7.06,3.92,N/A,N/A,N/A,N/A,N/A,2.74
50,25,2.5,50 x 25,50 x 25 x 2.5,N/A,N/A,2.62,N/A,50,25,N/A,2.5,2.5,N/A,N/A,N/A,N/A,17.0,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.141,53.8,9.89,3.28,N/A,N/A,1.72,0.99,N/A,N/A,3.95,2.62,N/A,N/A,N/A,5.11,3.12,N/A,N/A,N/A,N/A,N/A,8.43,4.60,N/A,N/A,N/A,N/A,N/A,3.34
50,25,3.0,50 x 25,50 x 25 x 3.0,N/A,N/A,3.07,N/A,50,25,N/A,3.0,3.0,N/A,N/A,N/A,N/A,13.7,5.33,N/A,N/A,N/A,N/A,N/A,N/A,0.140,45.6,11.2,3.67,N/A,N/A,1.69,0.97,N/A,N/A,4.47,2.93,N/A,N/A,N/A,5.86,3.56,N/A,N/A,N/A,N/A,N/A,9.64,5.18,N/A,N/A,N/A,N/A,N/A,3.91
50,30,2.0,50 x 30,50 x 30 x 2.0,N/A,N/A,2.31,N/A,50,30,N/A,2.0,2.0,N/A,N/A,N/A,N/A,22.0,12.0,N/A,N/A,N/A,N/A,N/A,N/A,0.153,66.2,9.54,4.29,N/A,N/A,1.80,1.21,N/A,N/A,3.81,2.86,N/A,N/A,N/A,4.74,3.33,N/A,N/A,N/A,N/A,N/A,9.77,4.84,N/A,N/A,N/A,N/A,N/A,2.94
50,30,2.5,50 x 30,50 x 30 x 2.5,N/A,N/A,2.82,N/A,50,30,N/A,2.5,2.5,N/A,N/A,N/A,N/A,17.0,9.00,N/A,N/A,N/A,N/A,N/A,N/A,0.151,53.5,11.3,5.05,N/A,N/A,1.77,1.19,N/A,N/A,4.52,3.37,N/A,N/A,N/A,5.70,3.98,N/A,N/A,N/A,N/A,N/A,11.7,5.72,N/A,N/A,N/A,N/A,N/A,3.59
50,30,3.0,50 x 30,50 x 30 x 3.0,N/A,N/A,3.30,N/A,50,30,N/A,3.0,3.0,N/A,N/A,N/A,N/A,13.7,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.150,45.5,12.8,5.70,N/A,N/A,1.75,1.16,N/A,N/A,5.13,3.80,N/A,N/A,N/A,6.57,4.58,N/A,N/A,N/A,N/A,N/A,13.5,6.49,N/A,N/A,N/A,N/A,N/A,4.21
50,30,4.0,50 x 30,50 x 30 x 4.0,N/A,N/A,4.20,N/A,50,30,N/A,4.0,4.0,N/A,N/A,N/A,N/A,9.50,4.50,N/A,N/A,N/A,N/A,N/A,N/A,0.146,34.8,15.3,6.69,N/A,N/A,1.69,1.12,N/A,N/A,6.10,4.46,N/A,N/A,N/A,8.05,5.58,N/A,N/A,N/A,N/A,N/A,16.5,7.71,N/A,N/A,N/A,N/A,N/A,5.35
60,40,2.5,60 x 40,60 x 40 x 2.5,N/A,N/A,3.60,N/A,60,40,N/A,2.5,2.5,N/A,N/A,N/A,N/A,21.0,13.0,N/A,N/A,N/A,N/A,N/A,N/A,0.191,53.1,22.1,11.7,N/A,N/A,2.19,1.60,N/A,N/A,7.36,5.87,N/A,N/A,N/A,9.06,6.84,N/A,N/A,N/A,N/A,N/A,25.1,9.72,N/A,N/A,N/A,N/A,N/A,4.59
60,40,3.0,60 x 40,60 x 40 x 3.0,N/A,N/A,4.25,N/A,60,40,N/A,3.0,3.0,N/A,N/A,N/A,N/A,17.0,10.3,N/A,N/A,N/A,N/A,N/A,N/A,0.190,44.7,25.4,13.4,N/A,N/A,2.17,1.58,N/A,N/A,8.46,6.72,N/A,N/A,N/A,10.5,7.94,N/A,N/A,N/A,N/A,N/A,29.3,11.2,N/A,N/A,N/A,N/A,N/A,5.41
60,40,4.0,60 x 40,60 x 40 x 4.0,N/A,N/A,5.45,N/A,60,40,N/A,4.0,4.0,N/A,N/A,N/A,N/A,12.0,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.186,34.1,31.0,16.3,N/A,N/A,2.11,1.53,N/A,N/A,10.3,8.14,N/A,N/A,N/A,13.2,9.89,N/A,N/A,N/A,N/A,N/A,36.7,13.7,N/A,N/A,N/A,N/A,N/A,6.95
