First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
25,25,2.0,25 x 25,25 x 25 x 2.0,N/A,N/A,1.36,N/A,25,25,N/A,2.0,2.0,N/A,N/A,N/A,N/A,9.50,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.0930,68.4,1.48,1.48,N/A,N/A,0.924,0.924,N/A,N/A,1.19,1.19,N/A,N/A,N/A,1.47,1.47,N/A,N/A,N/A,N/A,N/A,2.53,1.80,N/A,N/A,N/A,N/A,N/A,1.74
25,25,2.5,25 x 25,25 x 25 x 2.5,N/A,N/A,1.64,N/A,25,25,N/A,2.5,2.5,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.0910,55.5,1.69,1.69,N/A,N/A,0.899,0.899,N/A,N/A,1.35,1.35,N/A,N/A,N/A,1.71,1.71,N/A,N/A,N/A,N/A,N/A,2.97,2.07,N/A,N/A,N/A,N/A,N/A,2.09
30,30,2.0,30 x 30,30 x 30 x 2.0,N/A,N/A,1.68,N/A,30,30,N/A,2.0,2.0,N/A,N/A,N/A,N/A,12.0,12.0,N/A,N/A,N/A,N/A,N/A,N/A,0.113,67.3,2.72,2.72,N/A,N/A,1.13,1.13,N/A,N/A,1.81,1.81,N/A,N/A,N/A,2.21,2.21,N/A,N/A,N/A,N/A,N/A,4.54,2.75,N/A,N/A,N/A,N/A,N/A,2.14
30,30,2.5,30 x 30,30 x 30 x 2.5,N/A,N/A,2.03,N/A,30,30,N/A,2.5,2.5,N/A,N/A,N/A,N/A,9.00,9.00,N/A,N/A,N/A,N/A,N/A,N/A,0.111,54.7,3.16,3.16,N/A,N/A,1.10,1.10,N/A,N/A,2.10,2.10,N/A,N/A,N/A,2.61,2.61,N/A,N/A,N/A,N/A,N/A,5.40,3.20,N/A,N/A,N/A,N/A,N/A,2.59
30,30,3.0,30 x 30,30 x 30 x 3.0,N/A,N/A,2.36,N/A,30,30,N/A,3.0,3.0,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.110,46.6,3.50,3.50,N/A,N/A,1.08,1.08,N/A,N/A,2.34,2.34,N/A,N/A,N/A,2.96,2.96,N/A,N/A,N/A,N/A,N/A,6.15,3.58,N/A,N/A,N/A,N/A,N/A,3.01
40,40,2.0,40 x 40,40 x 40 x 2.0,N/A,N/A,2.31,N/A,40,40,N/A,2.0,2.0,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.153,66.2,6.94,6.94,N/A,N/A,1.54,1.54,N/A,N/A,3.47,3.47,N/A,N/A,N/A,4.13,4.13,N/A,N/A,N/A,N/A,N/A,11.3,5.23,N/A,N/A,N/A,N/A,N/A,2.94
40,40,2.5,40 x 40,40 x 40 x 2.5,N/A,N/A,2.82,N/A,40,40,N/A,2.5,2.5,N/A,N/A,N/A,N/A,13.0,13.0,N/A,N/A,N/A,N/A,N/A,N/A,0.151,53.5,8.22,8.22,N/A,N/A,1.51,1.51,N/A,N/A,4.11,4.11,N/A,N/A,N/A,4.97,4.97,N/A,N/A,N/A,N/A,N/A,13.6,6.21,N/A,N/A,N/A,N/A,N/A,3.59
40,40,3.0,40 x 40,40 x 40 x 3.0,N/A,N/A,3.30,N/A,40,40,N/A,3.0,3.0,N/A,N/A,N/A,N/A,10.3,10.3,N/A,N/A,N/A,N/A,N/A,N/A,0.150,45.5,9.32,9.32,N/A,N/A,1.49,1.49,N/A,N/A,4.66,4.66,N/A,N/A,N/A,5.72,5.72,N/A,N/A,N/A,N/A,N/A,15.8,7.07,N/A,N/A,N/A,N/A,N/A,4.21
40,40,4.0,40 x 40,40 x 40 x 4.0,N/A,N/A,4.20,N/A,40,40,N/A,4.0,4.0,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.146,34.8,11.1,11.1,N/A,N/A,1.44,1.44,N/A,N/A,5.54,5.54,N/A,N/A,N/A,7.01,7.01,N/A,N/A,N/A,N/A,N/A,19.4,8.48,N/A,N/A,N/A,N/A,N/A,5.35
50,50,2.5,50 x 50,50 x 50 x 2.5,N/A,N/A,3.60,N/A,50,50,N/A,2.5,2.5,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.191,53.1,16.9,16.9,N/A,N/A,1.92,1.92,N/A,N/A,6.78,6.78,N/A,N/A,N/A,8.07,8.07,N/A,N/A,N/A,N/A,N/A,27.5,10.2,N/A,N/A,N/A,N/A,N/A,4.59
