First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
200,200,24.0,200 x 200,200 x 200 x 24.0,0,0,0,0,0,0,71.1,200,200,200,24.0,0,0,18.0,9.00,0,0,0,0,0,5.84,5.84,0,0,0,0,0,3330,3330,5280,1380,6.06,6.06,7.64,3.90,235,235,0,0,0,0,0,0,0,0,0,0,182,0,2.50,0,0,0,0,90.6
200,200,20.0,200 x 200,200 x 200 x 20.0,0,0,0,0,0,0,59.9,200,200,200,20.0,0,0,18.0,9.00,0,0,0,0,0,5.68,5.68,0,0,0,0,0,2850,2850,4530,1170,6.11,6.11,7.70,3.92,199,199,0,0,0,0,0,0,0,0,0,0,107,0,3.05,0,0,0,0,76.3
200,200,18.0,200 x 200,200 x 200 x 18.0,0,0,0,0,0,0,54.3,200,200,200,18.0,0,0,18.0,9.00,0,0,0,0,0,5.60,5.60,0,0,0,0,0,2600,2600,4150,1050,6.13,6.13,7.75,3.90,181,181,0,0,0,0,0,0,0,0,0,0,78.9,0,3.43,0,0,0,0,69.1
200,200,16.0,200 x 200,200 x 200 x 16.0,0,0,0,0,0,0,48.5,200,200,200,16.0,0,0,18.0,9.00,0,0,0,0,0,5.52,5.52,0,0,0,0,0,2340,2340,3720,960,6.16,6.16,7.76,3.94,162,162,0,0,0,0,0,0,0,0,0,0,56.1,0,3.85,0,0,0,0,61.8
150,150,18.0,150 x 150,150 x 150 x 18.0,0,0,0,0,0,0,40.1,150,150,150,18.0,0,0,16.0,8.00,0,0,0,0,0,4.38,4.38,0,0,0,0,0,1060,1060,1680,440,4.55,4.55,5.73,2.93,99.8,99.8,0,0,0,0,0,0,0,0,0,0,58.6,0,2.48,0,0,0,0,51.2
150,150,15.0,150 x 150,150 x 150 x 15.0,0,0,0,0,0,0,33.8,150,150,150,15.0,0,0,16.0,8.00,0,0,0,0,0,4.25,4.25,0,0,0,0,0,898,898,1430,370,4.57,4.57,5.76,2.93,83.5,83.5,0,0,0,0,0,0,0,0,0,0,34.6,0,3.01,0,0,0,0,43.0
150,150,12.0,150 x 150,150 x 150 x 12.0,0,0,0,0,0,0,27.3,150,150,150,12.0,0,0,16.0,8.00,0,0,0,0,0,4.12,4.12,0,0,0,0,0,737,737,1170,303,4.60,4.60,5.80,2.95,67.7,67.7,0,0,0,0,0,0,0,0,0,0,18.2,0,3.77,0,0,0,0,34.8
150,150,10.0,150 x 150,150 x 150 x 10.0,0,0,0,0,0,0,23.0,150,150,150,10.0,0,0,16.0,8.00,0,0,0,0,0,4.03,4.03,0,0,0,0,0,624,624,990,258,4.62,4.62,5.82,2.97,56.9,56.9,0,0,0,0,0,0,0,0,0,0,10.8,0,4.51,0,0,0,0,29.3
120,120,15.0,120 x 120,120 x 120 x 15.0,0,0,0,0,0,0,26.6,120,120,120,15.0,0,0,13.0,6.50,0,0,0,0,0,3.52,3.52,0,0,0,0,0,448,448,710,186,3.63,3.63,4.57,2.34,52.8,52.8,0,0,0,0,0,0,0,0,0,0,27.0,0,2.37,0,0,0,0,34.0
120,120,12.0,120 x 120,120 x 120 x 12.0,0,0,0,0,0,0,21.6,120,120,120,12.0,0,0,13.0,6.50,0,0,0,0,0,3.40,3.40,0,0,0,0,0,368,368,584,152,3.65,3.65,4.60,2.35,42.7,42.7,0,0,0,0,0,0,0,0,0,0,14.2,0,2.99,0,0,0,0,27.5
