First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
430,100,64,430 x 100,430 x 100 x 64,0,0,0,0,0,0,64.4,0,430,100,0,11.0,19.0,15,0,362,0,32.9,3.89,3.27,0,0,13,96,34,1.23,19.1,21900,722,0,0,16.3,2.97,0,0,1020,97.9,0,0,0,1220,176,0,0.916,22.5,0.219,0,63.0,0,0,0,0,0,0,82.1
380,100,54,380 x 100,380 x 100 x 54,0,0,0,0,0,0,54.0,0,380,100,0,9.5,17.5,15,0,315,0,33.2,4.31,3.48,0,0,12,98,34,1.13,20.9,15000,643,0,0,14.8,3.06,0,0,791,89.2,0,0,0,933,161,0,0.933,21.2,0.150,0,45.7,0,0,0,0,0,0,68.7
300,100,46,300 x 100,300 x 100 x 46,0,0,0,0,0,0,45.5,0,300,100,0,9.0,16.5,15,0,237,0,26.3,4.61,3.67,0,0,11,98,32,0.969,21.3,8230,568,0,0,11.9,3.13,0,0,549,81.7,0,0,0,641,148,0,0.944,17.0,0.0813,0,36.8,0,0,0,0,0,0,58.0
300,90,41,300 x 90,300 x 90 x 41,0,0,0,0,0,0,41.4,0,300,90,0,9.0,15.5,12,0,245,0,27.2,4.45,3.18,0,0,11,88,28,0.932,22.5,7220,404,0,0,11.7,2.77,0,0,481,63.1,0,0,0,568,114,0,0.934,18.3,0.0581,0,28.8,0,0,0,0,0,0,52.7
260,90,35,260 x 90,260 x 90 x 35,0,0,0,0,0,0,34.8,0,260,90,0,8.0,14.0,12,0,208,0,26.0,5.00,3.31,0,0,10,88,26,0.854,24.5,4730,353,0,0,10.3,2.82,0,0,364,56.3,0,0,0,425,102,0,0.943,17.2,0.0379,0,20.6,0,0,0,0,0,0,44.4
260,75,28,260 x 75,260 x 75 x 28,0,0,0,0,0,0,27.6,0,260,75,0,7.0,12.0,12,0,212,0,30.3,4.67,2.61,0,0,9,74,24,0.796,28.8,3620,185,0,0,10.1,2.30,0,0,278,34.4,0,0,0,328,62,0,0.932,20.5,0.0203,0,11.7,0,0,0,0,0,0,35.1
230,90,32,230 x 90,230 x 90 x 32,0,0,0,0,0,0,32.2,0,230,90,0,7.5,14.0,12,0,178,0,23.7,5.04,3.45,0,0,10,90,26,0.795,24.7,3520,334,0,0,9.27,2.86,0,0,306,55,0,0,0,355,98.9,0,0.949,15.1,0.0279,0,19.3,0,0,0,0,0,0,41.0
230,75,26,230 x 75,230 x 75 x 26,0,0,0,0,0,0,25.7,0,230,75,0,6.5,12.5,12,0,181,0,27.8,4.52,2.77,0,0,9,76,26,0.737,28.7,2750,181,0,0,9.17,2.35,0,0,239,34.8,0,0,0,278,63.2,0,0.945,17.3,0.0153,0,11.8,0,0,0,0,0,0,32.7
200,90,30,200 x 90,200 x 90 x 30,0,0,0,0,0,0,29.7,0,200,90,0,7.0,14.0,12,0,148,0,21.1,5.07,3.60,0,0,9,90,26,0.736,24.8,2520,314,0,0,8.16,2.88,0,0,252,53.4,0,0,0,291,94.5,0,0.952,12.9,0.0197,0,18.3,0,0,0,0,0,0,37.9
200,75,23,200 x 75,200 x 75 x 23,0,0,0,0,0,0,23.4,0,200,75,0,6.0,12.5,12,0,151,0,25.2,4.56,2.91,0,0,8,76,26,0.678,29.0,1960,170,0,0,8.11,2.39,0,0,196,33.8,0,0,0,227,60.6,0,0.956,14.7,0.0107,0,11.1,0,0,0,0,0,0,29.9
180,90,26,180 x 90,180 x 90 x 26,0,0,0,0,0,0,26.1,0,180,90,0,6.5,12.5,12,0,131,0,20.2,5.72,3.63,0,0,9,90,26,0.697,26.7,1820,277,0,0,7.40,2.89,0,0,202,47.4,0,0,0,232,83.5,0,0.950,12.8,0.0141,0,13.3,0,0,0,0,0,0,33.2
180,75,20,180 x 75,180 x 75 x 20,0,0,0,0,0,0,20.3,0,180,75,0,6.0,10.5,12,0,135,0,22.5,5.43,2.85,0,0,8,76,24,0.638,31.4,1370,146,0,0,7.27,2.38,0,0,152,28.8,0,0,0,176,51.8,0,0.945,15.3,0.00754,0,7.34,0,0,0,0,0,0,25.9
150,90,24,150 x 90,150 x 90 x 24,0,0,0,0,0,0,23.9,0,150,90,0,6.5,12.0,12,0,102,0,15.7,5.96,3.71,0,0,9,90,24,0.637,26.7,1160,253,0,0,6.18,2.89,0,0,155,44.4,0,0,0,179,76.9,0,0.937,10.8,0.00890,0,11.8,0,0,0,0,0,0,30.4
150,75,18,150 x 75,150 x 75 x 18,0,0,0,0,0,0,17.9,0,150,75,0,5.5,10.0,12,0,106,0,19.3,5.75,2.97,0,0,8,76,22,0.579,32.3,861,131,0,0,6.15,2.40,0,0,115,26.6,0,0,0,132,47.2,0,0.945,13.1,0.00467,0,6.10,0,0,0,0,0,0,22.8
125,65,15,125 x 65,125 x 65 x 15,0,0,0,0,0,0,14.8,0,125,65,0,5.5,9.5,12,0,82.0,0,14.9,5.00,2.54,0,0,8,66,22,0.489,33.0,483,80,0,0,5.07,2.06,0,0,77.3,18.8,0,0,0,89.9,33.2,0,0.942,11.1,0.00194,0,4.72,0,0,0,0,0,0,18.8
100,50,10,100 x 50,100 x 50 x 10,0,0,0,0,0,0,10.2,0,100,50,0,5.0,8.5,9,0,65.0,0,13.0,4.24,1.93,0,0,7,52,18,0.382,37.5,208,32.3,0,0,4.00,1.58,0,0,41.5,9.89,0,0,0,48.9,17.5,0,0.942,10.00,0.000491,0,2.53,0,0,0,0,0,0,13.0
