First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
50 ,30,2.9,50  x 30,50  x 30 x 2.9,N/A,N/A,3.31,N/A,50 ,30,N/A,2.9,2.9,N/A,N/A,N/A,N/A,14.2,7.34,N/A,N/A,N/A,N/A,N/A,N/A,0.153,46.2,13.2,5.80,N/A,N/A,1.77,1.17,N/A,N/A,5.29,3.87,N/A,N/A,N/A,6.70,4.63,N/A,N/A,N/A,N/A,N/A,13.2,6.37,N/A,N/A,N/A,N/A,N/A,4.21
50,30,3.0,50 x 30,50 x 30 x 3.0,N/A,N/A,3.41,N/A,50,30,N/A,3.0,3.0,N/A,N/A,N/A,N/A,13.7,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.152,44.6,13.6,5.94,N/A,N/A,1.77,1.17,N/A,N/A,5.43,3.96,N/A,N/A,N/A,6.88,4.76,N/A,N/A,N/A,N/A,N/A,13.5,6.51,N/A,N/A,N/A,N/A,N/A,4.34
50,30,3.2,50 x 30,50 x 30 x 3.2,N/A,N/A,3.61,N/A,50,30,N/A,3.2,3.2,N/A,N/A,N/A,N/A,12.6,6.38,N/A,N/A,N/A,N/A,N/A,N/A,0.152,42.1,14.2,6.20,N/A,N/A,1.76,1.16,N/A,N/A,5.68,4.13,N/A,N/A,N/A,7.25,5.00,N/A,N/A,N/A,N/A,N/A,14.2,6.80,N/A,N/A,N/A,N/A,N/A,4.60
50,30,3.6,50 x 30,50 x 30 x 3.6,N/A,N/A,4.01,N/A,50,30,N/A,3.6,3.6,N/A,N/A,N/A,N/A,10.9,5.33,N/A,N/A,N/A,N/A,N/A,N/A,0.151,37.7,15.4,6.67,N/A,N/A,1.74,1.14,N/A,N/A,6.16,4.45,N/A,N/A,N/A,7.94,5.46,N/A,N/A,N/A,N/A,N/A,15.4,7.31,N/A,N/A,N/A,N/A,N/A,5.10
50,30,4.0,50 x 30,50 x 30 x 4.0,N/A,N/A,4.39,N/A,50,30,N/A,4.0,4.0,N/A,N/A,N/A,N/A,9.50,4.50,N/A,N/A,N/A,N/A,N/A,N/A,0.150,34.2,16.5,7.08,N/A,N/A,1.72,1.13,N/A,N/A,6.60,4.72,N/A,N/A,N/A,8.59,5.88,N/A,N/A,N/A,N/A,N/A,16.6,7.77,N/A,N/A,N/A,N/A,N/A,5.59
50,30,5.0,50 x 30,50 x 30 x 5.0,N/A,N/A,5.28,N/A,50,30,N/A,5.0,5.0,N/A,N/A,N/A,N/A,7.00,3.00,N/A,N/A,N/A,N/A,N/A,N/A,0.147,27.8,18.7,7.89,N/A,N/A,1.67,1.08,N/A,N/A,7.49,5.26,N/A,N/A,N/A,10.0,6.80,N/A,N/A,N/A,N/A,N/A,19.0,8.67,N/A,N/A,N/A,N/A,N/A,6.73
50,30,5.6,50 x 30,50 x 30 x 5.6,N/A,N/A,5.78,N/A,50,30,N/A,5.6,5.6,N/A,N/A,N/A,N/A,5.93,2.36,N/A,N/A,N/A,N/A,N/A,N/A,0.146,25.3,19.7,8.23,N/A,N/A,1.64,1.06,N/A,N/A,7.89,5.48,N/A,N/A,N/A,10.8,7.25,N/A,N/A,N/A,N/A,N/A,20.1,9.05,N/A,N/A,N/A,N/A,N/A,7.37
50,30,6.3,50 x 30,50 x 30 x 6.3,N/A,N/A,6.33,N/A,50,30,N/A,6.3,6.3,N/A,N/A,N/A,N/A,4.94,1.76,N/A,N/A,N/A,N/A,N/A,N/A,0.144,22.7,20.6,8.50,N/A,N/A,1.60,1.03,N/A,N/A,8.26,5.66,N/A,N/A,N/A,11.5,7.68,N/A,N/A,N/A,N/A,N/A,21.1,9.36,N/A,N/A,N/A,N/A,N/A,8.07
60,40,2.9,60 x 40,60 x 40 x 2.9,N/A,N/A,4.22,N/A,60,40,N/A,2.9,2.9,N/A,N/A,N/A,N/A,17.7,10.8,N/A,N/A,N/A,N/A,N/A,N/A,0.193,45.7,25.8,13.5,N/A,N/A,2.19,1.59,N/A,N/A,8.59,6.77,N/A,N/A,N/A,10.6,7.96,N/A,N/A,N/A,N/A,N/A,28.4,10.9,N/A,N/A,N/A,N/A,N/A,5.37
60,40,3.0,60 x 40,60 x 40 x 3.0,N/A,N/A,4.35,N/A,60,40,N/A,3.0,3.0,N/A,N/A,N/A,N/A,17.0,10.3,N/A,N/A,N/A,N/A,N/A,N/A,0.192,44.1,26.5,13.9,N/A,N/A,2.18,1.58,N/A,N/A,8.82,6.95,N/A,N/A,N/A,10.9,8.19,N/A,N/A,N/A,N/A,N/A,29.2,11.2,N/A,N/A,N/A,N/A,N/A,5.54
60,40,3.2,60 x 40,60 x 40 x 3.2,N/A,N/A,4.62,N/A,60,40,N/A,3.2,3.2,N/A,N/A,N/A,N/A,15.8,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.192,41.6,27.8,14.6,N/A,N/A,2.18,1.57,N/A,N/A,9.27,7.29,N/A,N/A,N/A,11.5,8.64,N/A,N/A,N/A,N/A,N/A,30.8,11.7,N/A,N/A,N/A,N/A,N/A,5.88
60,40,3.6,60 x 40,60 x 40 x 3.6,N/A,N/A,5.14,N/A,60,40,N/A,3.6,3.6,N/A,N/A,N/A,N/A,13.7,8.11,N/A,N/A,N/A,N/A,N/A,N/A,0.191,37.2,30.4,15.9,N/A,N/A,2.16,1.56,N/A,N/A,10.1,7.93,N/A,N/A,N/A,12.7,9.50,N/A,N/A,N/A,N/A,N/A,33.8,12.8,N/A,N/A,N/A,N/A,N/A,6.54
60,40,4.0,60 x 40,60 x 40 x 4.0,N/A,N/A,5.64,N/A,60,40,N/A,4.0,4.0,N/A,N/A,N/A,N/A,12.0,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.190,33.7,32.8,17.0,N/A,N/A,2.14,1.54,N/A,N/A,10.9,8.52,N/A,N/A,N/A,13.8,10.3,N/A,N/A,N/A,N/A,N/A,36.7,13.7,N/A,N/A,N/A,N/A,N/A,7.19
60,40,5.0,60 x 40,60 x 40 x 5.0,N/A,N/A,6.85,N/A,60,40,N/A,5.0,5.0,N/A,N/A,N/A,N/A,9.00,5.00,N/A,N/A,N/A,N/A,N/A,N/A,0.187,27.3,38.1,19.5,N/A,N/A,2.09,1.50,N/A,N/A,12.7,9.77,N/A,N/A,N/A,16.4,12.2,N/A,N/A,N/A,N/A,N/A,43.0,15.7,N/A,N/A,N/A,N/A,N/A,8.73
60,40,5.6,60 x 40,60 x 40 x 5.6,N/A,N/A,7.54,N/A,60,40,N/A,5.6,5.6,N/A,N/A,N/A,N/A,7.71,4.14,N/A,N/A,N/A,N/A,N/A,N/A,0.186,24.7,40.7,20.7,N/A,N/A,2.06,1.47,N/A,N/A,13.6,10.4,N/A,N/A,N/A,17.8,13.1,N/A,N/A,N/A,N/A,N/A,46.2,16.7,N/A,N/A,N/A,N/A,N/A,9.61
60,40,6.3,60 x 40,60 x 40 x 6.3,N/A,N/A,8.31,N/A,60,40,N/A,6.3,6.3,N/A,N/A,N/A,N/A,6.52,3.35,N/A,N/A,N/A,N/A,N/A,N/A,0.184,22.1,43.4,21.9,N/A,N/A,2.02,1.44,N/A,N/A,14.5,11.0,N/A,N/A,N/A,19.2,14.2,N/A,N/A,N/A,N/A,N/A,49.5,17.6,N/A,N/A,N/A,N/A,N/A,10.6
60,40,7.1,60 x 40,60 x 40 x 7.1,N/A,N/A,9.14,N/A,60,40,N/A,7.1,7.1,N/A,N/A,N/A,N/A,5.45,2.63,N/A,N/A,N/A,N/A,N/A,N/A,0.182,19.9,45.9,22.9,N/A,N/A,1.98,1.40,N/A,N/A,15.3,11.5,N/A,N/A,N/A,20.7,15.2,N/A,N/A,N/A,N/A,N/A,52.7,18.5,N/A,N/A,N/A,N/A,N/A,11.6
60,40,8.0,60 x 40,60 x 40 x 8.0,N/A,N/A,10.0,N/A,60,40,N/A,8.0,8.0,N/A,N/A,N/A,N/A,4.50,2.00,N/A,N/A,N/A,N/A,N/A,N/A,0.179,17.9,47.9,23.7,N/A,N/A,1.94,1.36,N/A,N/A,16.0,11.9,N/A,N/A,N/A,22.1,16.1,N/A,N/A,N/A,N/A,N/A,55.4,19.2,N/A,N/A,N/A,N/A,N/A,12.8
80,40,2.9,80 x 40,80 x 40 x 2.9,N/A,N/A,5.13,N/A,80,40,N/A,2.9,2.9,N/A,N/A,N/A,N/A,24.6,10.8,N/A,N/A,N/A,N/A,N/A,N/A,0.233,45.4,52.7,17.5,N/A,N/A,2.84,1.64,N/A,N/A,13.2,8.77,N/A,N/A,N/A,16.6,10.1,N/A,N/A,N/A,N/A,N/A,42.6,14.9,N/A,N/A,N/A,N/A,N/A,6.53
80,40,3.0,80 x 40,80 x 40 x 3.0,N/A,N/A,5.29,N/A,80,40,N/A,3.0,3.0,N/A,N/A,N/A,N/A,23.7,10.3,N/A,N/A,N/A,N/A,N/A,N/A,0.232,43.9,54.2,18.0,N/A,N/A,2.84,1.63,N/A,N/A,13.6,9.00,N/A,N/A,N/A,17.1,10.4,N/A,N/A,N/A,N/A,N/A,43.8,15.3,N/A,N/A,N/A,N/A,N/A,6.74
80,40,3.2,80 x 40,80 x 40 x 3.2,N/A,N/A,5.62,N/A,80,40,N/A,3.2,3.2,N/A,N/A,N/A,N/A,22.0,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.232,41.3,57.2,18.9,N/A,N/A,2.83,1.63,N/A,N/A,14.3,9.46,N/A,N/A,N/A,18.0,11.0,N/A,N/A,N/A,N/A,N/A,46.2,16.1,N/A,N/A,N/A,N/A,N/A,7.16
80,40,3.6,80 x 40,80 x 40 x 3.6,N/A,N/A,6.27,N/A,80,40,N/A,3.6,3.6,N/A,N/A,N/A,N/A,19.2,8.11,N/A,N/A,N/A,N/A,N/A,N/A,0.231,36.8,62.8,20.6,N/A,N/A,2.81,1.61,N/A,N/A,15.7,10.3,N/A,N/A,N/A,20.0,12.1,N/A,N/A,N/A,N/A,N/A,50.8,17.5,N/A,N/A,N/A,N/A,N/A,7.98
80,40,4.0,80 x 40,80 x 40 x 4.0,N/A,N/A,6.90,N/A,80,40,N/A,4.0,4.0,N/A,N/A,N/A,N/A,17.0,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.230,33.3,68.2,22.2,N/A,N/A,2.79,1.59,N/A,N/A,17.1,11.1,N/A,N/A,N/A,21.8,13.2,N/A,N/A,N/A,N/A,N/A,55.2,18.9,N/A,N/A,N/A,N/A,N/A,8.79
80,40,5.0,80 x 40,80 x 40 x 5.0,N/A,N/A,8.42,N/A,80,40,N/A,5.0,5.0,N/A,N/A,N/A,N/A,13.0,5.00,N/A,N/A,N/A,N/A,N/A,N/A,0.227,27.0,80.3,25.7,N/A,N/A,2.74,1.55,N/A,N/A,20.1,12.9,N/A,N/A,N/A,26.1,15.7,N/A,N/A,N/A,N/A,N/A,65.1,21.9,N/A,N/A,N/A,N/A,N/A,10.7
80,40,5.6,80 x 40,80 x 40 x 5.6,N/A,N/A,9.30,N/A,80,40,N/A,5.6,5.6,N/A,N/A,N/A,N/A,11.3,4.14,N/A,N/A,N/A,N/A,N/A,N/A,0.226,24.3,86.7,27.4,N/A,N/A,2.70,1.52,N/A,N/A,21.7,13.7,N/A,N/A,N/A,28.5,17.0,N/A,N/A,N/A,N/A,N/A,70.2,23.3,N/A,N/A,N/A,N/A,N/A,11.8
80,40,6.3,80 x 40,80 x 40 x 6.3,N/A,N/A,10.3,N/A,80,40,N/A,6.3,6.3,N/A,N/A,N/A,N/A,9.70,3.35,N/A,N/A,N/A,N/A,N/A,N/A,0.224,21.7,93.3,29.2,N/A,N/A,2.67,1.49,N/A,N/A,23.3,14.6,N/A,N/A,N/A,31.1,18.4,N/A,N/A,N/A,N/A,N/A,75.6,24.8,N/A,N/A,N/A,N/A,N/A,13.1
80,40,7.1,80 x 40,80 x 40 x 7.1,N/A,N/A,11.4,N/A,80,40,N/A,7.1,7.1,N/A,N/A,N/A,N/A,8.27,2.63,N/A,N/A,N/A,N/A,N/A,N/A,0.222,19.5,99.8,30.7,N/A,N/A,2.63,1.46,N/A,N/A,25.0,15.4,N/A,N/A,N/A,33.8,19.8,N/A,N/A,N/A,N/A,N/A,80.9,26.2,N/A,N/A,N/A,N/A,N/A,14.5
80,40,8.0,80 x 40,80 x 40 x 8.0,N/A,N/A,12.5,N/A,80,40,N/A,8.0,8.0,N/A,N/A,N/A,N/A,7.00,2.00,N/A,N/A,N/A,N/A,N/A,N/A,0.219,17.5,106,32.1,N/A,N/A,2.58,1.42,N/A,N/A,26.5,16.1,N/A,N/A,N/A,36.5,21.2,N/A,N/A,N/A,N/A,N/A,85.8,27.4,N/A,N/A,N/A,N/A,N/A,16.0
90,50,3.0,90 x 50,90 x 50 x 3.0,N/A,N/A,6.24,N/A,90,50,N/A,3.0,3.0,N/A,N/A,N/A,N/A,27.0,13.7,N/A,N/A,N/A,N/A,N/A,N/A,0.272,43.6,84.4,33.5,N/A,N/A,3.26,2.05,N/A,N/A,18.8,13.4,N/A,N/A,N/A,23.2,15.3,N/A,N/A,N/A,N/A,N/A,76.5,22.4,N/A,N/A,N/A,N/A,N/A,7.94
90,50,3.2,90 x 50,90 x 50 x 3.2,N/A,N/A,6.63,N/A,90,50,N/A,3.2,3.2,N/A,N/A,N/A,N/A,25.1,12.6,N/A,N/A,N/A,N/A,N/A,N/A,0.272,41.0,89.1,35.3,N/A,N/A,3.25,2.04,N/A,N/A,19.8,14.1,N/A,N/A,N/A,24.6,16.2,N/A,N/A,N/A,N/A,N/A,80.9,23.6,N/A,N/A,N/A,N/A,N/A,8.44
90,50,3.6,90 x 50,90 x 50 x 3.6,N/A,N/A,7.40,N/A,90,50,N/A,3.6,3.6,N/A,N/A,N/A,N/A,22.0,10.9,N/A,N/A,N/A,N/A,N/A,N/A,0.271,36.6,98.3,38.7,N/A,N/A,3.23,2.03,N/A,N/A,21.8,15.5,N/A,N/A,N/A,27.2,18.0,N/A,N/A,N/A,N/A,N/A,89.4,25.9,N/A,N/A,N/A,N/A,N/A,9.42
90,50,4.0,90 x 50,90 x 50 x 4.0,N/A,N/A,8.15,N/A,90,50,N/A,4.0,4.0,N/A,N/A,N/A,N/A,19.5,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.270,33.1,107,41.9,N/A,N/A,3.21,2.01,N/A,N/A,23.8,16.8,N/A,N/A,N/A,29.8,19.6,N/A,N/A,N/A,N/A,N/A,97.5,28.0,N/A,N/A,N/A,N/A,N/A,10.4
90,50,5.0,90 x 50,90 x 50 x 5.0,N/A,N/A,9.99,N/A,90,50,N/A,5.0,5.0,N/A,N/A,N/A,N/A,15.0,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.267,26.7,127,49.2,N/A,N/A,3.16,1.97,N/A,N/A,28.3,19.7,N/A,N/A,N/A,36.0,23.5,N/A,N/A,N/A,N/A,N/A,116,32.9,N/A,N/A,N/A,N/A,N/A,12.7
90,50,5.6,90 x 50,90 x 50 x 5.6,N/A,N/A,11.1,N/A,90,50,N/A,5.6,5.6,N/A,N/A,N/A,N/A,13.1,5.93,N/A,N/A,N/A,N/A,N/A,N/A,0.266,24.0,138,53.0,N/A,N/A,3.13,1.94,N/A,N/A,30.7,21.2,N/A,N/A,N/A,39.4,25.7,N/A,N/A,N/A,N/A,N/A,127,35.4,N/A,N/A,N/A,N/A,N/A,14.1
90,50,6.3,90 x 50,90 x 50 x 6.3,N/A,N/A,12.3,N/A,90,50,N/A,6.3,6.3,N/A,N/A,N/A,N/A,11.3,4.94,N/A,N/A,N/A,N/A,N/A,N/A,0.264,21.5,150,57.0,N/A,N/A,3.10,1.91,N/A,N/A,33.3,22.8,N/A,N/A,N/A,43.2,28.0,N/A,N/A,N/A,N/A,N/A,138,38.1,N/A,N/A,N/A,N/A,N/A,15.6
90,50,7.1,90 x 50,90 x 50 x 7.1,N/A,N/A,13.6,N/A,90,50,N/A,7.1,7.1,N/A,N/A,N/A,N/A,9.68,4.04,N/A,N/A,N/A,N/A,N/A,N/A,0.262,19.3,162,60.9,N/A,N/A,3.06,1.88,N/A,N/A,36.0,24.4,N/A,N/A,N/A,47.2,30.5,N/A,N/A,N/A,N/A,N/A,149,40.7,N/A,N/A,N/A,N/A,N/A,17.3
90,50,8.0,90 x 50,90 x 50 x 8.0,N/A,N/A,15.0,N/A,90,50,N/A,8.0,8.0,N/A,N/A,N/A,N/A,8.25,3.25,N/A,N/A,N/A,N/A,N/A,N/A,0.259,17.3,174,64.6,N/A,N/A,3.01,1.84,N/A,N/A,38.6,25.8,N/A,N/A,N/A,51.4,32.9,N/A,N/A,N/A,N/A,N/A,160,43.2,N/A,N/A,N/A,N/A,N/A,19.2
90,50,8.8,90 x 50,90 x 50 x 8.8,N/A,N/A,16.3,N/A,90,50,N/A,8.8,8.8,N/A,N/A,N/A,N/A,7.23,2.68,N/A,N/A,N/A,N/A,N/A,N/A,0.257,15.8,183,67.2,N/A,N/A,2.97,1.80,N/A,N/A,40.6,26.9,N/A,N/A,N/A,54.8,34.9,N/A,N/A,N/A,N/A,N/A,169,45.0,N/A,N/A,N/A,N/A,N/A,20.7
100,50,3.2,100 x 50,100 x 50 x 3.2,N/A,N/A,7.13,N/A,100,50,N/A,3.2,3.2,N/A,N/A,N/A,N/A,28.3,12.6,N/A,N/A,N/A,N/A,N/A,N/A,0.292,41.0,116,38.8,N/A,N/A,3.57,2.07,N/A,N/A,23.2,15.5,N/A,N/A,N/A,28.9,17.7,N/A,N/A,N/A,N/A,N/A,93.4,26.4,N/A,N/A,N/A,N/A,N/A,9.08
100,50,3.6,100 x 50,100 x 50 x 3.6,N/A,N/A,7.96,N/A,100,50,N/A,3.6,3.6,N/A,N/A,N/A,N/A,24.8,10.9,N/A,N/A,N/A,N/A,N/A,N/A,0.291,36.6,128,42.6,N/A,N/A,3.55,2.05,N/A,N/A,25.6,17.0,N/A,N/A,N/A,32.1,19.6,N/A,N/A,N/A,N/A,N/A,103,29.0,N/A,N/A,N/A,N/A,N/A,10.1
100,50,4.0,100 x 50,100 x 50 x 4.0,N/A,N/A,8.78,N/A,100,50,N/A,4.0,4.0,N/A,N/A,N/A,N/A,22.0,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.290,33.0,140,46.2,N/A,N/A,3.53,2.03,N/A,N/A,27.9,18.5,N/A,N/A,N/A,35.2,21.5,N/A,N/A,N/A,N/A,N/A,113,31.4,N/A,N/A,N/A,N/A,N/A,11.2
100,50,5.0,100 x 50,100 x 50 x 5.0,N/A,N/A,10.8,N/A,100,50,N/A,5.0,5.0,N/A,N/A,N/A,N/A,17.0,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.287,26.6,167,54.3,N/A,N/A,3.48,1.99,N/A,N/A,33.3,21.7,N/A,N/A,N/A,42.6,25.8,N/A,N/A,N/A,N/A,N/A,135,36.9,N/A,N/A,N/A,N/A,N/A,13.7
100,50,5.6,100 x 50,100 x 50 x 5.6,N/A,N/A,11.9,N/A,100,50,N/A,5.6,5.6,N/A,N/A,N/A,N/A,14.9,5.93,N/A,N/A,N/A,N/A,N/A,N/A,0.286,24.0,181,58.6,N/A,N/A,3.45,1.96,N/A,N/A,36.2,23.4,N/A,N/A,N/A,46.8,28.2,N/A,N/A,N/A,N/A,N/A,147,39.8,N/A,N/A,N/A,N/A,N/A,15.2
100,50,6.3,100 x 50,100 x 50 x 6.3,N/A,N/A,13.3,N/A,100,50,N/A,6.3,6.3,N/A,N/A,N/A,N/A,12.9,4.94,N/A,N/A,N/A,N/A,N/A,N/A,0.284,21.4,197,63.0,N/A,N/A,3.42,1.93,N/A,N/A,39.4,25.2,N/A,N/A,N/A,51.3,30.8,N/A,N/A,N/A,N/A,N/A,160,42.9,N/A,N/A,N/A,N/A,N/A,16.9
