First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
40,40,2.9,40 x 40,40 x 40 x 2.9,N/A,N/A,3.31,N/A,40,40,N/A,2.9,2.9,N/A,N/A,N/A,N/A,10.8,10.8,N/A,N/A,N/A,N/A,N/A,N/A,0.153,46.2,9.54,9.54,N/A,N/A,1.50,1.50,N/A,N/A,4.77,4.77,N/A,N/A,N/A,5.81,5.81,N/A,N/A,N/A,N/A,N/A,15.3,6.93,N/A,N/A,N/A,N/A,N/A,4.21
40,40,3.0,40 x 40,40 x 40 x 3.0,N/A,N/A,3.41,N/A,40,40,N/A,3.0,3.0,N/A,N/A,N/A,N/A,10.3,10.3,N/A,N/A,N/A,N/A,N/A,N/A,0.152,44.6,9.78,9.78,N/A,N/A,1.50,1.50,N/A,N/A,4.89,4.89,N/A,N/A,N/A,5.97,5.97,N/A,N/A,N/A,N/A,N/A,15.7,7.10,N/A,N/A,N/A,N/A,N/A,4.34
40,40,3.2,40 x 40,40 x 40 x 3.2,N/A,N/A,3.61,N/A,40,40,N/A,3.2,3.2,N/A,N/A,N/A,N/A,9.50,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.152,42.1,10.2,10.2,N/A,N/A,1.49,1.49,N/A,N/A,5.11,5.11,N/A,N/A,N/A,6.28,6.28,N/A,N/A,N/A,N/A,N/A,16.5,7.42,N/A,N/A,N/A,N/A,N/A,4.60
40,40,3.6,40 x 40,40 x 40 x 3.6,N/A,N/A,4.01,N/A,40,40,N/A,3.6,3.6,N/A,N/A,N/A,N/A,8.11,8.11,N/A,N/A,N/A,N/A,N/A,N/A,0.151,37.7,11.1,11.1,N/A,N/A,1.47,1.47,N/A,N/A,5.54,5.54,N/A,N/A,N/A,6.88,6.88,N/A,N/A,N/A,N/A,N/A,18.1,8.01,N/A,N/A,N/A,N/A,N/A,5.10
40,40,4.0,40 x 40,40 x 40 x 4.0,N/A,N/A,4.39,N/A,40,40,N/A,4.0,4.0,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.150,34.2,11.8,11.8,N/A,N/A,1.45,1.45,N/A,N/A,5.91,5.91,N/A,N/A,N/A,7.44,7.44,N/A,N/A,N/A,N/A,N/A,19.5,8.54,N/A,N/A,N/A,N/A,N/A,5.59
40,40,5.0,40 x 40,40 x 40 x 5.0,N/A,N/A,5.28,N/A,40,40,N/A,5.0,5.0,N/A,N/A,N/A,N/A,5.00,5.00,N/A,N/A,N/A,N/A,N/A,N/A,0.147,27.8,13.4,13.4,N/A,N/A,1.41,1.41,N/A,N/A,6.68,6.68,N/A,N/A,N/A,8.66,8.66,N/A,N/A,N/A,N/A,N/A,22.5,9.60,N/A,N/A,N/A,N/A,N/A,6.73
40,40,5.6,40 x 40,40 x 40 x 5.6,N/A,N/A,5.78,N/A,40,40,N/A,5.6,5.6,N/A,N/A,N/A,N/A,4.14,4.14,N/A,N/A,N/A,N/A,N/A,N/A,0.146,25.3,14.1,14.1,N/A,N/A,1.38,1.38,N/A,N/A,7.03,7.03,N/A,N/A,N/A,9.28,9.28,N/A,N/A,N/A,N/A,N/A,24.0,10.1,N/A,N/A,N/A,N/A,N/A,7.37
40,40,6.3,40 x 40,40 x 40 x 6.3,N/A,N/A,6.33,N/A,40,40,N/A,6.3,6.3,N/A,N/A,N/A,N/A,3.35,3.35,N/A,N/A,N/A,N/A,N/A,N/A,0.144,22.7,14.7,14.7,N/A,N/A,1.35,1.35,N/A,N/A,7.34,7.34,N/A,N/A,N/A,9.90,9.90,N/A,N/A,N/A,N/A,N/A,25.4,10.5,N/A,N/A,N/A,N/A,N/A,8.07
50,50,2.9,50 x 50,50 x 50 x 2.9,N/A,N/A,4.22,N/A,50,50,N/A,2.9,2.9,N/A,N/A,N/A,N/A,14.2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,0.193,45.7,19.7,19.7,N/A,N/A,1.91,1.91,N/A,N/A,7.87,7.87,N/A,N/A,N/A,9.43,9.43,N/A,N/A,N/A,N/A,N/A,31.2,11.5,N/A,N/A,N/A,N/A,N/A,5.37
50,50,3.0,50 x 50,50 x 50 x 3.0,N/A,N/A,4.35,N/A,50,50,N/A,3.0,3.0,N/A,N/A,N/A,N/A,13.7,13.7,N/A,N/A,N/A,N/A,N/A,N/A,0.192,44.1,20.2,20.2,N/A,N/A,1.91,1.91,N/A,N/A,8.08,8.08,N/A,N/A,N/A,9.70,9.70,N/A,N/A,N/A,N/A,N/A,32.1,11.8,N/A,N/A,N/A,N/A,N/A,5.54
