First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
254,343,63,254 x 343,254 x 343 x 63,686,254,125,686 x 254,686 x 254 x 125,0,62.6,0,338.9,253.0,0,11.7,16.2,15.2,0,0,0,29.00,6.5,0,0,8.9,0,0,0,0,0,8980,2190,0,0,10.6,5.24,0,0,0,0,1010,358,173,643,271,0,0.651,21.9,0,2090,57.9,0,0,0,0,0,0.740,79.7
305,305,119,305 x 305,305 x 305 x 119,610,305,238,610 x 305,610 x 305 x 238,0,119.0,0,317.9,311.4,0,18.4,31.4,16.5,0,0,0,17.30,4.1,0,0,7.1,0,0,0,0,0,12400,7920,0,0,9.03,7.23,0,0,0,0,1740,501,509,894,787,0,0.483,10.6,0,11300,391,0,0,0,0,0,0.662,152
305,305,90,305 x 305,305 x 305 x 90,610,305,179,610 x 305,610 x 305 x 179,0,89.5,0,310.0,307.1,0,14.1,23.6,16.5,0,0,0,22.00,5.5,0,0,6.7,0,0,0,0,0,9040,5700,0,0,8.91,7.07,0,0,0,0,1350,372,371,656,572,0,0.484,13.8,0,4710,170,0,0,0,0,0,0.664,114
305,305,75,305 x 305,305 x 305 x 75,610,305,149,610 x 305,610 x 305 x 149,0,74.6,0,306.1,304.8,0,11.8,19.7,16.5,0,0,0,25.90,6.6,0,0,6.5,0,0,0,0,0,7410,4650,0,0,8.83,7.00,0,0,0,0,1150,307,305,538,469,0,0.483,16.4,0,2690,99.8,0,0,0,0,0,0.666,95.0
229,305,70,229 x 305,229 x 305 x 70,610,229,140,610 x 229,610 x 229 x 140,0,69.9,0,308.5,230.2,0,13.1,22.1,12.7,0,0,0,23.50,4.3,0,0,7.6,0,0,0,0,0,7740,2250,0,0,9.32,5.03,0,0,0,0,1020,333,196,592,306,0,0.613,15.3,0,2560,108,0,0,0,0,0,0.727,89.1
229,305,63,229 x 305,229 x 305 x 63,610,229,125,610 x 229,610 x 229 x 125,0,62.5,0,306.0,229.0,0,11.9,19.6,12.7,0,0,0,25.70,4.9,0,0,7.5,0,0,0,0,0,6900,1970,0,0,9.31,4.97,0,0,0,0,915,299,172,531,268,0,0.617,17.1,0,1840,76.9,0,0,0,0,0,0.728,79.7
229,305,57,229 x 305,229 x 305 x 57,610,229,113,610 x 229,610 x 229 x 113,0,56.5,0,303.7,228.2,0,11.1,17.3,12.7,0,0,0,27.40,5.5,0,0,7.6,0,0,0,0,0,6270,1720,0,0,9.33,4.88,0,0,0,0,826,275,150,489,235,0,0.626,19.0,0,1400,55.5,0,0,0,0,0,0.731,72.0
229,305,51,229 x 305,229 x 305 x 51,610,229,101,610 x 229,610 x 229 x 101,0,50.6,0,301.2,227.6,0,10.5,14.8,12.7,0,0,0,28.70,6.5,0,0,7.8,0,0,0,0,0,5690,1460,0,0,9.40,4.76,0,0,0,0,732,255,128,456,200,0,0.644,21.6,0,1080,38.3,0,0,0,0,0,0.736,64.4
178,305,50,178 x 305,178 x 305 x 50,610,178,100,610 x 178,610 x 178 x 100,0,50.1,0,303.7,179.2,0,11.3,17.2,12.7,0,0,0,26.90,4.1,0,0,8.6,0,0,0,0,0,5890,829,0,0,9.60,3.60,0,0,0,0,688,270,92.5,490,148,0,0.694,19.4,0,1230,47.3,0,0,0,0,0,0.768,63.9
178,305,46,178 x 305,178 x 305 x 46,610,178,92,610 x 178,610 x 178 x 92,0,46.1,0,301.5,178.8,0,10.9,15.0,12.7,0,0,0,27.70,4.8,0,0,8.8,0,0,0,0,0,5450,718,0,0,9.64,3.50,0,0,0,0,621,255,80.3,468,129,0,0.710,21.5,0,1050,35.3,0,0,0,0,0,0.774,58.7
178,305,41,178 x 305,178 x 305 x 41,610,178,82,610 x 178,610 x 178 x 82,0,40.9,0,299.3,177.9,0,10.0,12.8,12.7,0,0,0,29.90,5.6,0,0,8.9,0,0,0,0,0,4840,603,0,0,9.64,3.40,0,0,0,0,545,230,67.8,425,109,0,0.722,24.3,0,780,24.3,0,0,0,0,0,0.778,52.1
312,267,136,312 x 267,312 x 267 x 136,533,312,272,533 x 312,533 x 312 x 272,0,136.6,0,288.8,320.2,0,21.1,37.6,12.7,0,0,0,13.70,3.6,0,0,6.3,0,0,0,0,0,10600,10300,0,0,7.81,7.69,0,0,0,0,1690,469,644,857,993,0,0.247,7.96,0,17300,642,0,0,0,0,0,0.613,174
312,267,110,312 x 267,312 x 267 x 110,533,312,219,533 x 312,533 x 312 x 219,0,109.4,0,280.4,317.4,0,18.3,29.2,12.7,0,0,0,15.30,4.7,0,0,6.1,0,0,0,0,0,8530,7790,0,0,7.82,7.48,0,0,0,0,1400,389,491,696,757,0,0.332,9.93,0,8730,320,0,0,0,0,0,0.617,139
312,267,91,312 x 267,312 x 267 x 91,533,312,182,533 x 312,533 x 312 x 182,0,90.7,0,275.6,314.5,0,15.2,24.4,12.7,0,0,0,18.10,5.6,0,0,5.8,0,0,0,0,0,6890,6330,0,0,7.72,7.40,0,0,0,0,1190,317,403,562,619,0,0.324,11.7,0,4920,186,0,0,0,0,0,0.618,116
312,267,75,312 x 267,312 x 267 x 75,533,312,151,533 x 312,533 x 312 x 151,0,75.3,0,271.5,312.0,0,12.7,20.3,12.7,0,0,0,21.40,6.7,0,0,5.5,0,0,0,0,0,5620,5140,0,0,7.65,7.32,0,0,0,0,1010,260,330,458,505,0,0.326,14.0,0,2780,108,0,0,0,0,0,0.619,95.9
210,267,69,210 x 267,210 x 267 x 69,533,210,138,533 x 210,533 x 210 x 138,0,69.1,0,274.5,213.9,0,14.7,23.6,12.7,0,0,0,18.70,3.7,0,0,6.9,0,0,0,0,0,5990,1930,0,0,8.24,4.68,0,0,0,0,862,292,181,520,284,0,0.609,12.5,0,2490,125,0,0,0,0,0,0.719,88.1
210,267,61,210 x 267,210 x 267 x 61,533,210,122,533 x 210,533 x 210 x 122,0,61.0,0,272.2,211.9,0,12.7,21.3,12.7,0,0,0,21.40,4.1,0,0,6.7,0,0,0,0,0,5160,1690,0,0,8.15,4.67,0,0,0,0,775,251,160,446,250,0,0.600,13.8,0,1660,88.9,0,0,0,0,0,0.719,77.7
210,267,55,210 x 267,210 x 267 x 55,533,210,109,533 x 210,533 x 210 x 109,0,54.5,0,269.7,210.8,0,11.6,18.8,12.7,0,0,0,23.30,4.6,0,0,6.6,0,0,0,0,0,4600,1470,0,0,8.14,4.60,0,0,0,0,697,226,140,401,218,0,0.605,15.5,0,1200,63.0,0,0,0,0,0,0.721,69.4
210,267,51,210 x 267,210 x 267 x 51,533,210,101,533 x 210,533 x 210 x 101,0,50.5,0,268.3,210.0,0,10.8,17.4,12.7,0,0,0,24.80,5.0,0,0,6.5,0,0,0,0,0,4250,1350,0,0,8.12,4.57,0,0,0,0,650,209,128,371,200,0,0.606,16.6,0,951,50.3,0,0,0,0,0,0.722,64.3
210,267,46,210 x 267,210 x 267 x 46,533,210,92,533 x 210,533 x 210 x 92,0,46.0,0,266.5,209.3,0,10.1,15.6,12.7,0,0,0,26.40,5.6,0,0,6.6,0,0,0,0,0,3880,1190,0,0,8.14,4.51,0,0,0,0,593,193,114,343,178,0,0.613,18.3,0,737,37.7,0,0,0,0,0,0.724,58.7
210,267,41,210 x 267,210 x 267 x 41,533,210,82,533 x 210,533 x 210 x 82,0,41.1,0,264.1,208.8,0,9.6,13.2,12.7,0,0,0,27.50,6.6,0,0,6.8,0,0,0,0,0,3530,1000,0,0,8.21,4.38,0,0,0,0,523,179,96.1,320,150,0,0.634,20.8,0,565,25.7,0,0,0,0,0,0.730,52.3
