First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
305,152,79,305 x 152,305 x 152 x 79,305,305,158,305 x 305,0,305 x 305 x 158,79.0,0,163.5,311.2,0,15.8,25.0,15.2,0,0,0,10.35,5.3,0,0,3.0,0,0,0,0,0,1530,6280,0,0,3.90,7.90,0,0,0,0,503,115,404,225,615,0,0,0,0,3650,188,0,0,0,0,0,0.268,101
305,152,69,305 x 152,305 x 152 x 69,305,305,137,305 x 305,0,305 x 305 x 137,68.4,0,160.2,309.2,0,13.8,21.7,15.2,0,0,0,11.61,6.1,0,0,2.9,0,0,0,0,0,1290,5350,0,0,3.84,7.83,0,0,0,0,450,97.7,346,188,526,0,0,0,0,2340,124,0,0,0,0,0,0.263,87.2
305,152,59,305 x 152,305 x 152 x 59,305,305,118,305 x 305,0,305 x 305 x 118,58.9,0,157.2,307.4,0,12.0,18.7,15.2,0,0,0,13.10,7.1,0,0,2.7,0,0,0,0,0,1080,4530,0,0,3.79,7.77,0,0,0,0,401,82.8,295,156,448,0,0,0,0,1470,80.3,0,0,0,0,0,0.262,75.1
305,152,49,305 x 152,305 x 152 x 49,305,305,97,305 x 305,0,305 x 305 x 97,48.4,0,153.9,305.3,0,9.9,15.4,15.2,0,0,0,15.55,8.6,0,0,2.5,0,0,0,0,0,858,3650,0,0,3.73,7.69,0,0,0,0,343,66.5,239,123,363,0,0,0,0,806,45.5,0,0,0,0,0,0.258,61.7
254,127,84,254 x 127,254 x 127 x 84,254,254,167,254 x 254,0,254 x 254 x 167,83.5,0,144.5,265.2,0,19.2,31.7,12.7,0,0,0,7.53,3.5,0,0,3.1,0,0,0,0,0,1200,4930,0,0,3.36,6.81,0,0,0,0,391,105,372,220,569,0,0,0,0,4540,312,0,0,0,0,0,0.261,106
254,127,66,254 x 127,254 x 127 x 66,254,254,132,254 x 254,0,254 x 254 x 132,66.0,0,138.1,261.3,0,15.3,25.3,12.7,0,0,0,9.03,4.4,0,0,2.7,0,0,0,0,0,871,3770,0,0,3.22,6.69,0,0,0,0,323,78.3,288,159,439,0,0,0,0,2200,159,0,0,0,0,0,0.250,84.1
254,127,54,254 x 127,254 x 127 x 54,254,254,107,254 x 254,0,254 x 254 x 107,53.5,0,133.3,258.8,0,12.8,20.5,12.7,0,0,0,10.41,5.4,0,0,2.5,0,0,0,0,0,676,2960,0,0,3.15,6.59,0,0,0,0,276,62.1,229,122,348,0,0,0,0,1150,85.9,0,0,0,0,0,0.245,68.2
254,127,45,254 x 127,254 x 127 x 45,254,254,89,254 x 254,0,254 x 254 x 89,44.4,0,130.1,256.3,0,10.3,17.3,12.7,0,0,0,12.63,6.4,0,0,2.2,0,0,0,0,0,524,2430,0,0,3.04,6.55,0,0,0,0,237,48.5,190,94.0,288,0,0,0,0,660,51.1,0,0,0,0,0,0.242,56.7
254,127,37,254 x 127,254 x 127 x 37,254,254,73,254 x 254,0,254 x 254 x 73,36.5,0,127.0,254.6,0,8.6,14.2,12.7,0,0,0,14.77,7.8,0,0,2.1,0,0,0,0,0,417,1950,0,0,2.99,6.48,0,0,0,0,204,39.2,153,74.0,233,0,0,0,0,359,28.8,0,0,0,0,0,0.236,46.5
203,102,64,203 x 102,203 x 102 x 64,203,203,127,203 x 203,0,203 x 203 x 127,63.7,0,120.7,213.9,0,18.1,30.1,10.2,0,0,0,6.67,2.9,0,0,2.7,0,0,0,0,0,637,2460,0,0,2.80,5.50,0,0,0,0,233,68.2,230,145,352,0,0,0,0,2050,212,0,0,0,0,0,0.279,81.2
203,102,57,203 x 102,203 x 102 x 57,203,203,113,203 x 203,0,203 x 203 x 113,56.7,0,117.5,212.1,0,16.3,26.9,10.2,0,0,0,7.21,3.3,0,0,2.6,0,0,0,0,0,540,2140,0,0,2.73,5.45,0,0,0,0,211,58.8,202,123,309,0,0,0,0,1430,152,0,0,0,0,0,0.270,72.3
203,102,50,203 x 102,203 x 102 x 50,203,203,100,203 x 203,0,203 x 203 x 100,49.8,0,114.3,210.3,0,14.5,23.7,10.2,0,0,0,7.88,3.7,0,0,2.4,0,0,0,0,0,453,1840,0,0,2.67,5.39,0,0,0,0,190,50.0,175,103,267,0,0,0,0,951,104,0,0,0,0,0,0.266,63.4
203,102,43,203 x 102,203 x 102 x 43,203,203,86,203 x 203,0,203 x 203 x 86,43.0,0,111.0,209.1,0,12.7,20.5,10.2,0,0,0,8.74,4.3,0,0,2.2,0,0,0,0,0,373,1560,0,0,2.61,5.34,0,0,0,0,169,41.9,150,84.6,228,0,0,0,0,605,68.1,0,0,0,0,0,0.257,54.8
203,102,36,203 x 102,203 x 102 x 36,203,203,71,203 x 203,0,203 x 203 x 71,35.5,0,107.8,206.4,0,10.0,17.3,10.2,0,0,0,10.78,5.1,0,0,2.0,0,0,0,0,0,280,1270,0,0,2.49,5.30,0,0,0,0,143,31.8,123,63.6,187,0,0,0,0,343,40.0,0,0,0,0,0,0.254,45.2
203,102,30,203 x 102,203 x 102 x 30,203,203,60,203 x 203,0,203 x 203 x 60,30.0,0,104.7,205.8,0,9.4,14.2,10.2,0,0,0,11.14,6.2,0,0,1.9,0,0,0,0,0,244,1030,0,0,2.53,5.20,0,0,0,0,129,28.4,100,54.3,153,0,0,0,0,195,23.5,0,0,0,0,0,0.245,38.2
203,102,26,203 x 102,203 x 102 x 26,203,203,52,203 x 203,0,203 x 203 x 52,26.0,0,103.0,204.3,0,7.9,12.5,10.2,0,0,0,13.04,7.0,0,0,1.8,0,0,0,0,0,200,889,0,0,2.46,5.18,0,0,0,0,115,23.4,87.0,44.5,132,0,0,0,0,128,15.8,0,0,0,0,0,0.243,33.1
203,102,23,203 x 102,203 x 102 x 23,203,203,46,203 x 203,0,203 x 203 x 46,23.0,0,101.5,203.6,0,7.2,11.0,10.2,0,0,0,14.10,8.0,0,0,1.7,0,0,0,0,0,177,774,0,0,2.45,5.13,0,0,0,0,105,20.9,76.0,39.0,115,0,0,0,0,87.2,11.0,0,0,0,0,0,0.242,29.4
152,76,26,152 x 76,152 x 76 x 26,152,152,51,152 x 152,0,152 x 152 x 51,25.6,0,85.1,157.4,0,11.0,15.7,7.6,0,0,0,7.74,4.2,0,0,1.8,0,0,0,0,0,141,511,0,0,2.08,3.96,0,0,0,0,79.0,21.0,64.9,41.4,99.5,0,0,0,0,122,24.3,0,0,0,0,0,0.281,32.6
152,76,22,152 x 76,152 x 76 x 22,152,152,44,152 x 152,0,152 x 152 x 44,22.0,0,83.0,155.9,0,9.5,13.6,7.6,0,0,0,8.74,4.8,0,0,1.7,0,0,0,0,0,116,430,0,0,2.04,3.92,0,0,0,0,70.0,17.5,55.2,34.0,84.4,0,0,0,0,76.7,15.8,0,0,0,0,0,0.281,28.0
152,76,19,152 x 76,152 x 76 x 19,152,152,37,152 x 152,0,152 x 152 x 37,18.5,0,80.8,154.4,0,8.0,11.5,7.6,0,0,0,10.10,5.7,0,0,1.5,0,0,0,0,0,93.1,353,0,0,1.99,3.87,0,0,0,0,60.7,14.2,45.7,27.1,69.8,0,0,0,0,44.9,9.54,0,0,0,0,0,0.277,23.5
