First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
1016,305,584,1016 x 305,1016 x 305 x 584,0,0,0,0,0,0,584.0,0,1056.0,314.0,0,36.0,64.0,30.0,0,868.1,0,24.1,1.70,0,0,0,20,150,94,3.69,6.32,1246000,33400,0,0,40.9,6.70,0,0,23600,2130,0,0,0,28000,3480,0,0.869,18.0,81.2,0,7150,0,0,0,0,0,0,744
1016,305,494,1016 x 305,1016 x 305 x 494,0,0,0,0,0,0,494.0,0,1036.0,309.0,0,31.0,54.0,30.0,0,868.1,0,28.0,2.02,0,0,0,18,150,84,3.24,6.56,1028000,26800,0,0,40.4,6.53,0,0,19800,1740,0,0,0,23400,2820,0,0.867,20.9,64.0,0,4400,0,0,0,0,0,0,629
1016,305,438,1016 x 305,1016 x 305 x 438,0,0,0,0,0,0,438.0,0,1026.0,305.0,0,26.9,49.0,30.0,0,868.1,0,32.3,2.23,0,0,0,15,150,80,3.17,7.24,910000,23400,0,0,40.4,6.49,0,0,17700,1540,0,0,0,20800,2470,0,0.869,23.1,56.0,0,3190,0,0,0,0,0,0,556
1016,305,415,1016 x 305,1016 x 305 x 415,0,0,0,0,0,0,415.0,0,1020.0,304.0,0,26.0,46.0,30.0,0,868.1,0,33.4,2.37,0,0,0,15,150,76,3.17,7.64,853000,21700,0,0,40.2,6.41,0,0,16700,1430,0,0,0,19600,2300,0,0.868,24.3,51.1,0,2700,0,0,0,0,0,0,529
1016,305,393,1016 x 305,1016 x 305 x 393,0,0,0,0,0,0,392.7,0,1015.9,303.0,0,24.4,43.9,30.0,0,868.1,0,35.6,2.49,0,0,0,14,150,74,3.14,8.00,808000,20500,0,0,40.2,6.40,0,0,15900,1350,0,0,0,18500,2170,0,0.867,25.5,48.4,0,2330,0,0,0,0,0,0,500
1016,305,350,1016 x 305,1016 x 305 x 350,0,0,0,0,0,0,350.0,0,1008.0,302.0,0,21.1,40.0,30.0,0,868.1,0,41.1,2.76,0,0,0,13,152,70,3.13,8.94,723000,18500,0,0,40.3,6.44,0,0,14300,1220,0,0,0,16600,1940,0,0.872,27.8,43.3,0,1720,0,0,0,0,0,0,445
1016,305,314,1016 x 305,1016 x 305 x 314,0,0,0,0,0,0,314.3,0,999.9,300.0,0,19.1,35.9,30.0,0,868.1,0,45.5,3.08,0,0,0,12,152,66,3.11,9.90,644000,16200,0,0,40.1,6.37,0,0,12900,1080,0,0,0,14800,1710,0,0.870,30.7,37.7,0,1260,0,0,0,0,0,0,400
1016,305,272,1016 x 305,1016 x 305 x 272,0,0,0,0,0,0,272.3,0,990.1,300.0,0,16.5,31.0,30.0,0,868.1,0,52.6,3.60,0,0,0,10,152,62,3.10,11.4,554000,14000,0,0,40.0,6.35,0,0,11200,934,0,0,0,12800,1470,0,0.871,35.0,32.2,0,835,0,0,0,0,0,0,347
1016,305,249,1016 x 305,1016 x 305 x 249,0,0,0,0,0,0,248.7,0,980.1,300.0,0,16.5,26.0,30.0,0,868.1,0,52.6,4.30,0,0,0,10,152,56,3.08,12.4,481000,11800,0,0,39.0,6.09,0,0,9820,784,0,0,0,11300,1240,0,0.860,39.8,26.8,0,582,0,0,0,0,0,0,317
1016,305,222,1016 x 305,1016 x 305 x 222,0,0,0,0,0,0,222.0,0,970.3,300.0,0,16.0,21.1,30.0,0,868.1,0,54.3,5.31,0,0,0,10,152,52,3.06,13.8,408000,9550,0,0,38.0,5.81,0,0,8410,636,0,0,0,9810,1020,0,0.850,45.7,21.5,0,390,0,0,0,0,0,0,283
