First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
356,368,174,356 x 368,356 x 368 x 174,0,0,0,0,0,0,173.9,0,361.4,378.5,0,20.3,20.4,15.2,0,290.2,0,14.3,8.03,0,0,0,12,190,36,2.17,12.5,51000,18500,0,0,15.2,9.13,0,0,2820,976,0,0,0,3190,1500,0,0.822,15.8,5.37,0,330,0,0,0,0,0,0,221
356,368,152,356 x 368,356 x 368 x 152,0,0,0,0,0,0,152.0,0,356.4,376.0,0,17.8,17.9,15.2,0,290.2,0,16.3,9.16,0,0,0,11,190,34,2.16,14.2,44000,15900,0,0,15.1,9.05,0,0,2470,845,0,0,0,2770,1290,0,0.821,17.8,4.55,0,223,0,0,0,0,0,0,194
356,368,133,356 x 368,356 x 368 x 133,0,0,0,0,0,0,133.0,0,352.0,373.8,0,15.6,15.7,15.2,0,290.2,0,18.6,10.44,0,0,0,10,190,32,2.14,16.1,38000,13700,0,0,15.0,8.99,0,0,2160,732,0,0,0,2410,1120,0,0.824,20.1,3.87,0,151,0,0,0,0,0,0,169
356,368,109,356 x 368,356 x 368 x 109,0,0,0,0,0,0,108.9,0,346.4,371.0,0,12.8,12.9,15.2,0,290.2,0,22.7,12.71,0,0,0,8,190,30,2.13,19.6,30600,11000,0,0,14.9,8.90,0,0,1770,592,0,0,0,1960,903,0,0.823,24.1,3.05,0,84.6,0,0,0,0,0,0,139
305,305,223,305 x 305,305 x 305 x 223,0,0,0,0,0,0,222.9,0,337.9,325.7,0,30.3,30.4,15.2,0,246.7,0,8.14,4.36,0,0,0,17,158,46,1.89,8.48,52700,17600,0,0,13.6,7.87,0,0,3120,1080,0,0,0,3650,1680,0,0.826,9.53,4.15,0,943,0,0,0,0,0,0,284
305,305,186,305 x 305,305 x 305 x 186,0,0,0,0,0,0,186.0,0,328.3,320.9,0,25.5,25.6,15.2,0,246.7,0,9.67,5.18,0,0,0,15,158,42,1.86,10.0,42600,14100,0,0,13.4,7.73,0,0,2600,881,0,0,0,3000,1370,0,0.826,11.2,3.24,0,560,0,0,0,0,0,0,237
305,305,149,305 x 305,305 x 305 x 149,0,0,0,0,0,0,149.1,0,318.5,316.0,0,20.6,20.7,15.2,0,246.7,0,12.0,6.40,0,0,0,12,158,36,1.83,12.3,33100,10900,0,0,13.2,7.58,0,0,2080,691,0,0,0,2370,1070,0,0.828,13.5,2.42,0,295,0,0,0,0,0,0,190
305,305,126,305 x 305,305 x 305 x 126,0,0,0,0,0,0,126.1,0,312.3,312.9,0,17.5,17.6,15.2,0,246.7,0,14.1,7.53,0,0,0,11,158,34,1.82,14.4,27400,9000,0,0,13.1,7.49,0,0,1760,575,0,0,0,1990,885,0,0.830,15.7,1.95,0,182,0,0,0,0,0,0,161
305,305,110,305 x 305,305 x 305 x 110,0,0,0,0,0,0,110.0,0,307.9,310.7,0,15.3,15.4,15.2,0,246.7,0,16.1,8.60,0,0,0,10,158,32,1.80,16.4,23600,7710,0,0,13.0,7.42,0,0,1530,496,0,0,0,1720,762,0,0.840,17.7,1.65,0,122,0,0,0,0,0,0,140
305,305,95,305 x 305,305 x 305 x 95,0,0,0,0,0,0,94.9,0,303.7,308.7,0,13.3,13.3,15.2,0,246.7,0,18.5,9.96,0,0,0,9,158,30,1.79,18.9,20000,6530,0,0,12.9,7.35,0,0,1320,423,0,0,0,1470,648,0,0.828,20.2,1.38,0,80.0,0,0,0,0,0,0,121
305,305,88,305 x 305,305 x 305 x 88,0,0,0,0,0,0,88.0,0,301.7,307.8,0,12.4,12.3,15.2,0,246.7,0,19.9,10.77,0,0,0,8,158,28,1.78,20.2,18400,5980,0,0,12.8,7.31,0,0,1220,389,0,0,0,1360,595,0,0.831,21.6,1.25,0,64.2,0,0,0,0,0,0,112
305,305,79,305 x 305,305 x 305 x 79,0,0,0,0,0,0,78.9,0,299.3,306.4,0,11.0,11.1,15.2,0,246.7,0,22.4,11.94,0,0,0,8,158,28,1.78,22.6,16400,5330,0,0,12.8,7.28,0,0,1100,348,0,0,0,1220,531,0,0.833,23.8,1.11,0,46.9,0,0,0,0,0,0,100
254,254,85,254 x 254,254 x 254 x 85,0,0,0,0,0,0,85.1,0,254.3,260.4,0,14.4,14.3,12.7,0,200.3,0,13.9,7.71,0,0,0,9,134,28,1.50,17.6,12300,4220,0,0,10.6,6.24,0,0,966,324,0,0,0,1090,498,0,0.826,15.6,0.607,0,81.8,0,0,0,0,0,0,108
254,254,71,254 x 254,254 x 254 x 71,0,0,0,0,0,0,71.0,0,249.7,258.0,0,12.0,12.0,12.7,0,200.3,0,16.7,9.19,0,0,0,8,134,26,1.49,21.0,10100,3440,0,0,10.6,6.17,0,0,807,267,0,0,0,904,409,0,0.827,18.4,0.486,0,48.4,0,0,0,0,0,0,90.4
254,254,63,254 x 254,254 x 254 x 63,0,0,0,0,0,0,63.0,0,247.1,256.6,0,10.6,10.7,12.7,0,200.3,0,18.9,10.31,0,0,0,7,134,24,1.48,23.5,8860,3020,0,0,10.5,6.13,0,0,717,235,0,0,0,799,360,0,0.828,20.4,0.421,0,34.3,0,0,0,0,0,0,80.2
203,203,54,203 x 203,203 x 203 x 54,0,0,0,0,0,0,53.9,0,204.0,207.7,0,11.3,11.4,10.2,0,160.8,0,14.2,7.72,0,0,0,8,110,22,1.20,22.3,5030,1710,0,0,8.55,4.98,0,0,493,164,0,0,0,557,252,0,0.828,15.8,0.158,0,32.7,0,0,0,0,0,0,68.7
203,203,45,203 x 203,203 x 203 x 45,0,0,0,0,0,0,44.9,0,200.2,205.9,0,9.5,9.5,10.2,0,160.8,0,16.9,9.26,0,0,0,7,110,20,1.19,26.5,4100,1380,0,0,8.46,4.92,0,0,410,134,0,0,0,459,206,0,0.827,18.7,0.126,0,19.2,0,0,0,0,0,0,57.2
