First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2],,,,,
356,406,1299,356 x 406,356 x 406 x 1299,0,0,0,0,0,0,1299,0,600,476,0,100,140,15.4,0,290,0,2.9,1.23,0,0,0,52,198,156,2.88,2.22,755000,254000,0,0,21.4,12.4,0,0,25200,10700,0,0,0,33200,16700,0,0.846,3.42,133.1,0,94500,0,0,0,0,0,0,1655,,,,,
356,406,1202,356 x 406,356 x 406 x 1202,0,0,0,0,0,0,1202,0,580,471,0,95,130,15.4,0,290,0,3.05,1.33,0,0,0,50,198,146,2.83,2.35,664000,229000,0,0,20.8,12.2,0,0,22900,9710,0,0,0,30000,15200,0,0.842,3.59,114.6,0,76300,0,0,0,0,0,0,1531,,,,,
356,406,1086,356 x 406,356 x 406 x 1086,0,0,0,0,0,0,1086,0,569,454,0,78,125,15,0,290,0,3.72,1.38,0,0,0,41,198,140,2.77,2.55,596000,196000,0,0,20.7,11.9,0,0,20900,8640,0,0,0,27200,13400,0,0.852,3.79,96.1,0,60500,0,0,0,0,0,0,1386,,,,,
356,406,990,356 x 406,356 x 406 x 990,0,0,0,0,0,0,990,0,550,448,0,71.9,115,15,0,290,0,4.03,1.5,0,0,0,38,200,130,2.72,2.75,519000,173000,0,0,20.3,11.7,0,0,18900,7740,0,0,0,24300,12000,0,0.851,4.02,81.5,0,46900,0,0,0,0,0,0,1262,,,,,
356,406,900,356 x 406,356 x 406 x 900,0,0,0,0,0,0,900,0,531,442,0,65.9,106,15,0,290,0,4.4,1.63,0,0,0,35,200,122,2.67,2.97,450000,153000,0,0,19.8,11.6,0,0,17000,6940,0,0,0,21600,10700,0,0.849,4.26,68.9,0,36400,0,0,0,0,0,0,1149,,,,,
356,406,818,356 x 406,356 x 406 x 818,0,0,0,0,0,0,818,0,514,437,0,60.5,97,15,0,290,0,4.79,1.79,0,0,0,32,200,112,2.63,3.22,392000,136000,0,0,19.4,11.4,0,0,15300,6200,0,0,0,19300,9560,0,0.847,4.55,58.6,0,27800,0,0,0,0,0,0,1043,,,,,
356,406,744,356 x 406,356 x 406 x 744,0,0,0,0,0,0,744,0,498,432,0,55.6,88.9,15,0,290,0,5.22,1.95,0,0,0,30,200,104,2.59,3.48,342000,120000,0,0,19,11.3,0,0,13700,5550,0,0,0,17200,8550,0,0.845,4.86,50,0,21400,0,0,0,0,0,0,948,,,,,
356,406,677,356 x 406,356 x 406 x 677,0,0,0,0,0,0,677,0,483,428,0,51.2,81.5,15,0,290,0,5.66,2.13,0,0,0,28,200,98,2.55,3.77,300000,107000,0,0,18.6,11.1,0,0,12400,4990,0,0,0,15400,7680,0,0.844,5.19,42.9,0,16400,0,0,0,0,0,0,863,,,,,
356,406,634,356 x 406,356 x 406 x 634,0,0,0,0,0,0,633.9,0,474.6,424,0,47.6,77,15.2,0,290.2,0,6.1,2.25,0,0,0,26,200,94,2.52,3.98,275000,98100,0,0,18.4,11,0,0,11600,4630,0,0,0,14200,7110,0,0.842,5.46,38.8,0,13700,0,0,0,0,0,0,808,,,,,
356,406,592,356 x 406,356 x 406 x 592,0,0,0,0,0,0,592,0,465,421,0,45,72.3,15,0,290,0,6.44,2.39,0,0,0,25,198,88,2.5,4.22,250000,90200,0,0,18.2,10.9,0,0,10800,4280,0,0,0,13100,6570,0,0.843,5.72,34.7,0,11400,0,0,0,0,0,0,755,,,,,
