First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
200,150,18.0,200 x 150,200 x 150 x 18.0,0,0,0,0,0,0,47.1,0,200,150,18.0,0,0,15.0,7.50,0,0,0,0,0,6.33,3.85,0,0,0,0,0,2380,1150,2920,623,6.29,4.37,6.97,3.22,174,103,0,0,0,0,0,0.549,0,0,0,0,67.9,0,0,2.93,3.72,4.60,0,60.1
200,150,15.0,200 x 150,200 x 150 x 15.0,0,0,0,0,0,0,39.6,0,200,150,15.0,0,0,15.0,7.50,0,0,0,0,0,6.21,3.73,0,0,0,0,0,2020,979,2480,526,6.33,4.40,7.00,3.23,147,86.9,0,0,0,0,0,0.551,0,0,0,0,39.9,0,0,3.53,4.50,5.55,0,50.5
200,150,12.0,200 x 150,200 x 150 x 12.0,0,0,0,0,0,0,32.0,0,200,150,12.0,0,0,15.0,7.50,0,0,0,0,0,6.08,3.61,0,0,0,0,0,1650,803,2030,430,6.36,4.44,7.04,3.25,119,70.5,0,0,0,0,0,0.552,0,0,0,0,20.9,0,0,4.43,5.70,6.97,0,40.8
200,100,15.0,200 x 100,200 x 100 x 15.0,0,0,0,0,0,0,33.8,0,200,100,15.0,0,0,15.0,7.50,0,0,0,0,0,7.16,2.22,0,0,0,0,0,1760,299,1860,193,6.40,2.64,6.59,2.12,137,38.5,0,0,0,0,0,0.260,0,0,0,0,34.3,0,0,3.54,5.17,9.19,0,43.0
200,100,12.0,200 x 100,200 x 100 x 12.0,0,0,0,0,0,0,27.3,0,200,100,12.0,0,0,15.0,7.50,0,0,0,0,0,7.03,2.10,0,0,0,0,0,1440,247,1530,159,6.43,2.66,6.63,2.14,111,31.3,0,0,0,0,0,0.262,0,0,0,0,18.0,0,0,4.42,6.57,11.50,0,34.8
200,100,10.0,200 x 100,200 x 100 x 10.0,0,0,0,0,0,0,23.0,0,200,100,10.0,0,0,15.0,7.50,0,0,0,0,0,6.93,2.01,0,0,0,0,0,1220,210,1290,135,6.46,2.68,6.65,2.15,93.2,26.3,0,0,0,0,0,0.263,0,0,0,0,10.7,0,0,5.26,7.92,13.90,0,29.2
150,90,15.0,150 x 90,150 x 90 x 15.0,0,0,0,0,0,0,26.6,0,150,90,15.0,0,0,12.0,6.00,0,0,0,0,0,5.21,2.23,0,0,0,0,0,761,205,841,126,4.74,2.46,4.98,1.93,77.7,30.4,0,0,0,0,0,0.354,0,0,0,0,26.8,0,0,2.58,3.59,5.96,0,33.9
150,90,12.0,150 x 90,150 x 90 x 12.0,0,0,0,0,0,0,21.6,0,150,90,12.0,0,0,12.0,6.00,0,0,0,0,0,5.08,2.12,0,0,0,0,0,627,171,694,104,4.77,2.49,5.02,1.94,63.3,24.8,0,0,0,0,0,0.358,0,0,0,0,14.1,0,0,3.24,4.58,7.50,0,27.5
150,90,10.0,150 x 90,150 x 90 x 10.0,0,0,0,0,0,0,18.2,0,150,90,10.0,0,0,12.0,6.00,0,0,0,0,0,5.00,2.04,0,0,0,0,0,533,146,591,88.3,4.80,2.51,5.05,1.95,53.3,21.0,0,0,0,0,0,0.360,0,0,0,0,8.30,0,0,3.89,5.56,9.03,0,23.2
150,75,15.0,150 x 75,150 x 75 x 15.0,0,0,0,0,0,0,24.8,0,150,75,15.0,0,0,12.0,6.00,0,0,0,0,0,5.52,1.81,0,0,0,0,0,713,119,753,78.6,4.75,1.94,4.88,1.58,75.2,21.0,0,0,0,0,0,0.253,0,0,0,0,25.1,0,0,2.62,3.74,6.84,0,31.7
