First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Mass Per Metre (kg/m),Depth of Section [h] (mm),Width of Section [b] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r] (mm),Depth between Fillets [d] (mm),Ratio for Local Web Buckling (cw/tw),Ratio for Local Flange Buckling (ct/tf),Dimension for Detailing End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area Per Metre [m2],Surface Area Per Tonne [m2],Second Moment of Area [Axis y-y] (cm4),Second Moment of Area [Axis z-z] (cm4),Radius of Gyration [Axis y-y] (cm),Radius of Gyration [Axis z-z] (cm),Elastic Modulus [Axis y-y] (cm3),Elastic Modulus [Axis z-z (cm3),Plastic Modulus [Axis y-y] (cm3),Plastic Modulus [Axis z-z (cm3),Buckling Parameter [U],Torsional Index [X],Wraping Constant [Iw] (dm6),Torsional Constant [IT] (cm4),Area of Section [A] (cm2)
1016,305,584,1016 x 305,1016 x 305 x 584,584.0,1056.0,314.0,36.0,64.0,30.0,868.1,24.1,1.70,20,150,94,3.69,6.32,1246000,33400,40.9,6.70,23600,2130,28000,3480,0.869,18.0,81.2,7150,744
1016,305,494,1016 x 305,1016 x 305 x 494,494.0,1036.0,309.0,31.0,54.0,30.0,868.1,28.0,2.02,18,150,84,3.24,6.56,1028000,26800,40.4,6.53,19800,1740,23400,2820,0.867,20.9,64.0,4400,629
1016,305,438,1016 x 305,1016 x 305 x 438,438.0,1026.0,305.0,26.9,49.0,30.0,868.1,32.3,2.23,15,150,80,3.17,7.24,910000,23400,40.4,6.49,17700,1540,20800,2470,0.869,23.1,56.0,3190,556
1016,305,415,1016 x 305,1016 x 305 x 415,415.0,1020.0,304.0,26.0,46.0,30.0,868.1,33.4,2.37,15,150,76,3.17,7.64,853000,21700,40.2,6.41,16700,1430,19600,2300,0.868,24.3,51.1,2700,529
1016,305,393,1016 x 305,1016 x 305 x 393,392.7,1015.9,303.0,24.4,43.9,30.0,868.1,35.6,2.49,14,150,74,3.14,8.00,808000,20500,40.2,6.40,15900,1350,18500,2170,0.867,25.5,48.4,2330,500
1016,305,350,1016 x 305,1016 x 305 x 350,350.0,1008.0,302.0,21.1,40.0,30.0,868.1,41.1,2.76,13,152,70,3.13,8.94,723000,18500,40.3,6.44,14300,1220,16600,1940,0.872,27.8,43.3,1720,445
1016,305,314,1016 x 305,1016 x 305 x 314,314.3,999.9,300.0,19.1,35.9,30.0,868.1,45.5,3.08,12,152,66,3.11,9.90,644000,16200,40.1,6.37,12900,1080,14800,1710,0.870,30.7,37.7,1260,400
1016,305,272,1016 x 305,1016 x 305 x 272,272.3,990.1,300.0,16.5,31.0,30.0,868.1,52.6,3.60,10,152,62,3.10,11.4,554000,14000,40.0,6.35,11200,934,12800,1470,0.871,35.0,32.2,835,347
1016,305,249,1016 x 305,1016 x 305 x 249,248.7,980.1,300.0,16.5,26.0,30.0,868.1,52.6,4.30,10,152,56,3.08,12.4,481000,11800,39.0,6.09,9820,784,11300,1240,0.860,39.8,26.8,582,317
1016,305,222,1016 x 305,1016 x 305 x 222,222.0,970.3,300.0,16.0,21.1,30.0,868.1,54.3,5.31,10,152,52,3.06,13.8,408000,9550,38.0,5.81,8410,636,9810,1020,0.850,45.7,21.5,390,283
914,419,388,914 x 419,914 x 419 x 388,388.0,921.0,420.5,21.4,36.6,24.1,799.6,37.4,4.79,13,210,62,3.44,8.87,720000,45400,38.2,9.59,15600,2160,17700,3340,0.885,26.7,88.9,1730,494
914,419,343,914 x 419,914 x 419 x 343,343.3,911.8,418.5,19.4,32.0,24.1,799.6,41.2,5.48,12,210,58,3.42,9.96,626000,39200,37.8,9.46,13700,1870,15500,2890,0.884,30.1,75.8,1190,437
914,305,576,914 x 305,914 x 305 x 576,576.0,993.0,322.0,36.1,65.0,19.0,824.8,22.8,1.91,20,154,86,3.46,6.00,1102000,36500,38.8,7.06,22200,2270,26300,3660,0.874,16.8,77.9,7130,733
914,305,521,914 x 305,914 x 305 x 521,521.0,981.0,319.0,33.0,58.9,19.0,824.8,25.0,2.11,19,154,80,3.17,6.08,982000,32100,38.5,6.96,20000,2020,23600,3240,0.873,18.3,67.7,5340,664
914,305,474,914 x 305,914 x 305 x 474,474.0,971.0,316.0,30.0,54.1,19.0,824.8,27.5,2.29,17,154,74,3.14,6.62,886000,28700,38.3,6.89,18200,1810,21400,2900,0.873,19.8,59.8,4100,604
914,305,425,914 x 305,914 x 305 x 425,425.0,961.0,313.0,26.9,49.0,19.0,824.8,30.7,2.53,15,154,70,3.11,7.32,788000,25200,38.1,6.82,16400,1610,19100,2560,0.874,21.8,52.1,3030,542
914,305,381,914 x 305,914 x 305 x 381,381.0,951.0,310.0,24.4,43.9,19.0,824.8,33.8,2.82,14,154,64,3.09,8.11,697000,21900,37.9,6.72,14600,1410,17000,2240,0.873,24.1,44.8,2200,486
914,305,345,914 x 305,914 x 305 x 345,345.0,943.0,308.0,22.1,39.9,19.0,824.8,37.3,3.11,13,154,60,3.06,8.87,626000,19500,37.7,6.66,13300,1270,15400,2000,0.873,26.3,39.6,1650,440
914,305,313,914 x 305,914 x 305 x 313,313.0,932.0,309.0,21.1,34.5,19.0,824.8,39.1,3.62,13,154,54,3.04,9.71,548000,17000,37.1,6.54,11800,1100,13600,1750,0.867,29.7,34.2,1160,398
914,305,289,914 x 305,914 x 305 x 289,289.1,926.6,307.7,19.5,32.0,19.1,824.4,42.3,3.91,12,156,52,3.01,10.4,504000,15600,37.0,6.51,10900,1010,12600,1600,0.868,31.9,31.2,926,368
914,305,271,914 x 305,914 x 305 x 271,271.0,923.0,307.0,18.4,30.0,19.0,824.8,44.8,4.18,11,156,50,3.01,11.1,472000,14500,36.9,6.48,10200,946,11800,1490,0.867,33.8,28.8,769,346
914,305,253,914 x 305,914 x 305 x 253,253.4,918.4,305.5,17.3,27.9,19.1,824.4,47.7,4.48,11,156,48,2.99,11.8,436000,13300,36.8,6.42,9500,871,10900,1370,0.864,36.2,26.4,626,323
914,305,238,914 x 305,914 x 305 x 238,238.0,915.0,305.0,16.5,25.9,19.0,824.8,50.0,4.84,10,156,46,2.99,12.6,406000,12300,36.6,6.36,8880,806,10200,1270,0.865,38.6,24.2,514,304
914,305,224,914 x 305,914 x 305 x 224,224.2,910.4,304.1,15.9,23.9,19.1,824.4,51.8,5.23,10,156,44,2.97,13.2,376000,11200,36.3,6.27,8270,739,9530,1160,0.860,41.4,22.1,422,286
914,305,201,914 x 305,914 x 305 x 201,200.9,903.0,303.3,15.1,20.2,19.1,824.4,54.6,6.19,10,156,40,2.96,14.7,325000,9420,35.7,6.07,7200,621,8350,982,0.853,46.9,18.4,291,256
838,292,226,838 x 292,838 x 292 x 226,226.5,850.9,293.8,16.1,26.8,17.8,761.7,47.3,4.52,10,150,46,2.81,12.4,340000,11400,34.3,6.27,7980,773,9160,1210,0.870,34.9,19.3,514,289
838,292,194,838 x 292,838 x 292 x 194,193.8,840.7,292.4,14.7,21.7,17.8,761.7,51.8,5.58,9,150,40,2.79,14.4,279000,9070,33.6,6.06,6640,620,7640,974,0.862,41.6,15.2,306,247
838,292,176,838 x 292,838 x 292 x 176,175.9,834.9,291.7,14.0,18.8,17.8,761.7,54.4,6.44,9,150,38,2.78,15.8,246000,7800,33.1,5.90,5890,535,6810,842,0.856,46.5,13.0,221,224
762,267,197,762 x 267,762 x 267 x 197,196.8,769.8,268.0,15.6,25.4,16.5,686.0,44.0,4.32,10,138,42,2.55,13.0,240000,8170,30.9,5.71,6230,610,7170,958,0.869,33.2,11.3,404,251
762,267,173,762 x 267,762 x 267 x 173,173.0,762.2,266.7,14.3,21.6,16.5,686.0,48.0,5.08,9,138,40,2.53,14.6,205000,6850,30.5,5.58,5390,514,6200,807,0.865,38.0,9.39,267,220
762,267,147,762 x 267,762 x 267 x 147,146.9,754.0,265.2,12.8,17.5,16.5,686.0,53.6,6.27,8,138,34,2.51,17.1,169000,5460,30.0,5.40,4470,411,5160,647,0.859,45.2,7.40,159,187
762,267,134,762 x 267,762 x 267 x 134,133.9,750.0,264.4,12.0,15.5,16.5,686.0,57.2,7.08,8,138,32,2.51,18.7,151000,4790,29.7,5.30,4020,362,4640,570,0.853,49.8,6.46,119,171
686,254,170,686 x 254,686 x 254 x 170,170.2,692.9,255.8,14.5,23.7,15.2,615.1,42.4,4.45,9,132,40,2.35,13.8,170000,6630,28.0,5.53,4920,518,5630,811,0.872,31.8,7.42,308,217
686,254,152,686 x 254,686 x 254 x 152,152.4,687.5,254.5,13.2,21.0,15.2,615.1,46.6,5.02,9,132,38,2.34,15.4,150000,5780,27.8,5.46,4370,455,5000,710,0.871,35.4,6.42,220,194
686,254,140,686 x 254,686 x 254 x 140,140.1,683.5,253.7,12.4,19.0,15.2,615.1,49.6,5.55,8,132,36,2.33,16.6,136000,5180,27.6,5.39,3990,409,4560,638,0.870,38.6,5.72,169,178
686,254,125,686 x 254,686 x 254 x 125,125.2,677.9,253.0,11.7,16.2,15.2,615.1,52.6,6.51,8,132,32,2.32,18.5,118000,4380,27.2,5.24,3480,346,3990,542,0.862,43.8,4.80,116,159
610,305,238,610 x 305,610 x 305 x 238,238.1,635.8,311.4,18.4,31.4,16.5,540.0,29.3,4.14,11,158,48,2.45,10.3,209000,15800,26.3,7.23,6590,1020,7490,1570,0.886,21.3,14.5,785,303
610,305,179,610 x 305,610 x 305 x 179,179.0,620.2,307.1,14.1,23.6,16.5,540.0,38.3,5.51,9,158,42,2.41,13.5,153000,11400,25.9,7.07,4930,743,5550,1140,0.885,27.7,10.2,340,228
610,305,149,610 x 305,610 x 305 x 149,149.2,612.4,304.8,11.8,19.7,16.5,540.0,45.8,6.60,8,158,38,2.39,16.0,126000,9310,25.7,7.00,4110,611,4590,937,0.886,32.7,8.17,200,190
610,229,140,610 x 229,610 x 229 x 140,139.9,617.2,230.2,13.1,22.1,12.7,547.6,41.8,4.34,9,120,36,2.11,15.1,112000,4510,25.0,5.03,3620,391,4140,611,0.875,30.5,3.99,216,178
610,229,125,610 x 229,610 x 229 x 125,125.1,612.2,229.0,11.9,19.6,12.7,547.6,46.0,4.89,8,120,34,2.09,16.7,98600,3930,24.9,4.97,3220,343,3680,535,0.875,34.1,3.45,154,159
610,229,113,610 x 229,610 x 229 x 113,113.0,607.6,228.2,11.1,17.3,12.7,547.6,49.3,5.54,8,120,30,2.08,18.4,87300,3430,24.6,4.88,2870,301,3280,469,0.870,38.0,2.99,111,144
610,229,101,610 x 229,610 x 229 x 101,101.2,602.6,227.6,10.5,14.8,12.7,547.6,52.2,6.48,7,120,28,2.07,20.5,75800,2910,24.2,4.75,2520,256,2880,400,0.863,43.1,2.52,77.0,129
610,178,100,610 x 178,610 x 178 x 100,100.3,607.4,179.2,11.3,17.2,12.7,547.6,48.5,4.14,8,94,30,1.89,18.8,72500,1660,23.8,3.60,2390,185,2790,296,0.855,38.7,1.44,95.0,128
610,178,92,610 x 178,610 x 178 x 92,92.2,603.0,178.8,10.9,15.0,12.7,547.6,50.2,4.75,7,94,28,1.88,20.4,64600,1440,23.4,3.50,2140,161,2510,258,0.850,42.6,1.24,71.0,117
610,178,82,610 x 178,610 x 178 x 82,81.8,598.6,177.9,10.0,12.8,12.7,547.6,54.8,5.57,7,94,26,1.87,22.9,55900,1210,23.2,3.40,1870,136,2190,218,0.843,48.4,1.04,48.8,104
533,312,273,533 x 312,533 x 312 x 273,273.3,577.1,320.2,21.1,37.6,12.7,476.5,22.6,3.64,13,160,52,2.37,8.67,199000,20600,23.9,7.69,6890,1290,7870,1990,0.891,15.9,15.0,1290,348
533,312,219,533 x 312,533 x 312 x 219,218.8,560.3,317.4,18.3,29.2,12.7,476.5,26.0,4.69,11,160,42,2.33,10.6,151000,15600,23.3,7.48,5400,982,6120,1510,0.884,19.8,11.0,642,279
533,312,182,533 x 312,533 x 312 x 182,181.5,550.7,314.5,15.2,24.4,12.7,476.5,31.3,5.61,10,160,38,2.31,12.7,123000,12700,23.1,7.40,4480,806,5040,1240,0.887,23.4,8.77,373,231
533,312,151,533 x 312,533 x 312 x 151,150.6,542.5,312.0,12.7,20.3,12.7,476.5,37.5,6.75,8,160,34,2.29,15.2,101000,10300,22.9,7.32,3710,659,4150,1010,0.886,27.8,7.01,216,192
533,210,138,533 x 210,533 x 210 x 138,138.3,549.1,213.9,14.7,23.6,12.7,476.5,32.4,3.68,9,110,38,1.90,13.7,86100,3860,22.1,4.68,3140,361,3610,568,0.873,25.0,2.67,250,176
533,210,122,533 x 210,533 x 210 x 122,122.0,544.5,211.9,12.7,21.3,12.7,476.5,37.5,4.08,8,110,34,1.89,15.5,76000,3390,22.1,4.67,2790,320,3200,500,0.878,27.6,2.32,178,155
533,210,109,533 x 210,533 x 210 x 109,109.0,539.5,210.8,11.6,18.8,12.7,476.5,41.1,4.62,8,110,32,1.88,17.2,66800,2940,21.9,4.60,2480,279,2830,436,0.875,30.9,1.99,126,139
533,210,101,533 x 210,533 x 210 x 101,101.0,536.7,210.0,10.8,17.4,12.7,476.5,44.1,4.99,7,110,32,1.87,18.5,61500,2690,21.9,4.57,2290,256,2610,399,0.873,33.2,1.81,101,129
533,210,92,533 x 210,533 x 210 x 92,92.1,533.1,209.3,10.1,15.6,12.7,476.5,47.2,5.57,7,110,30,1.86,20.2,55200,2390,21.7,4.51,2070,228,2360,355,0.873,36.4,1.60,75.7,117
533,210,82,533 x 210,533 x 210 x 82,82.2,528.3,208.8,9.6,13.2,12.7,476.5,49.6,6.58,7,110,26,1.85,22.5,47500,2010,21.3,4.38,1800,192,2060,300,0.864,41.5,1.33,51.5,105
533,165,85,533 x 165,533 x 165 x 85,84.8,534.9,166.5,10.3,16.5,12.7,476.5,46.3,3.96,7,90,30,1.69,19.9,48500,1270,21.2,3.44,1820,153,2100,243,0.859,35.5,0.857,73.8,108
533,165,75,533 x 165,533 x 165 x 75,74.7,529.1,165.9,9.7,13.6,12.7,476.5,49.1,4.81,7,90,28,1.68,22.5,41100,1040,20.8,3.30,1550,125,1810,200,0.853,41.1,0.691,47.9,95.2
533,165,66,533 x 165,533 x 165 x 66,65.7,524.7,165.1,8.9,11.4,12.7,476.5,53.5,5.74,6,90,26,1.67,25.4,35000,859,20.5,3.20,1340,104,1560,166,0.847,47.0,0.566,32.0,83.7
457,191,161,457 x 191,457 x 191 x 161,161.4,492.0,199.4,18.0,32.0,10.2,407.6,22.6,2.52,11,102,44,1.73,10.7,79800,4250,19.7,4.55,3240,426,3780,672,0.881,16.5,2.25,515,206
457,191,133,457 x 191,457 x 191 x 133,133.3,480.6,196.7,15.3,26.3,10.2,407.6,26.6,3.06,10,102,38,1.70,12.8,63800,3350,19.4,4.44,2660,341,3070,535,0.880,19.6,1.73,292,170
457,191,106,457 x 191,457 x 191 x 106,105.8,469.2,194.0,12.6,20.6,10.2,407.6,32.3,3.91,8,102,32,1.67,15.8,48900,2510,19.0,4.32,2080,259,2390,405,0.876,24.5,1.27,146,135
